run_name,model,seed,class_idx,class_name,precision,recall,map50,map50_95
p1bfc_yolov8n_640_s1_e30p10m30,yolov8n.pt,1,0,B1,0.6387009382995845,0.8504983388704319,0.7971284738934438,0.41632608173239677
p1bfc_yolov8n_640_s1_e30p10m30,yolov8n.pt,1,1,B2,0.39080146104424696,0.511437908496732,0.3816837537763006,0.185692113396219
p1bfc_yolov8n_640_s1_e30p10m30,yolov8n.pt,1,2,B3,0.4621535227135092,0.6937073540561031,0.5416546993042965,0.2503117236068163
p1bfc_yolov8n_640_s1_e30p10m30,yolov8n.pt,1,3,B4,0.4394238885723973,0.3231046931407942,0.339584605977971,0.1342911110162123
p1bfc_yolov8n_640_s2_e30p10m30,yolov8n.pt,2,0,B1,0.6307304206112043,0.8272425249169435,0.7925091247405258,0.412913461388698
p1bfc_yolov8n_640_s2_e30p10m30,yolov8n.pt,2,1,B2,0.3906499426109027,0.5163398692810458,0.3915977145533635,0.19325489674986104
p1bfc_yolov8n_640_s2_e30p10m30,yolov8n.pt,2,2,B3,0.5101864139732954,0.6814972195852987,0.5607198851281548,0.2528545308545628
p1bfc_yolov8n_640_s2_e30p10m30,yolov8n.pt,2,3,B4,0.42809341490728586,0.3664259927797834,0.3342558540216329,0.12931195918937438
p1bfc_yolov8s_640_s1_e30p10m30,yolov8s.pt,1,0,B1,0.6762393771876591,0.8039867109634552,0.8033550544512624,0.425381201179699
p1bfc_yolov8s_640_s1_e30p10m30,yolov8s.pt,1,1,B2,0.43568035841733166,0.44281045751633985,0.3966379421762626,0.19283469643227716
p1bfc_yolov8s_640_s1_e30p10m30,yolov8s.pt,1,2,B3,0.48889014672773073,0.6802289627362983,0.547791063100284,0.2486816677898865
p1bfc_yolov8s_640_s1_e30p10m30,yolov8s.pt,1,3,B4,0.40923677424126387,0.4368231046931408,0.354703222673215,0.1403500091337077
p1bfc_yolov8s_640_s2_e30p10m30,yolov8s.pt,2,0,B1,0.6570288738389443,0.8471760797342193,0.8088466801174633,0.42772191017264494
p1bfc_yolov8s_640_s2_e30p10m30,yolov8s.pt,2,1,B2,0.4121830351611969,0.42483660130718953,0.3901272422541273,0.19001816813679445
p1bfc_yolov8s_640_s2_e30p10m30,yolov8s.pt,2,2,B3,0.4923438764458836,0.6889596015793648,0.5544304094413792,0.2544266813271529
