branch,candidate,checkpoint,split,run_name,metric_schema,weight_path,optimized_conf,precision,recall,f1,map50,map50_95,top1_acc,top5_acc,accuracy,support_total,predicted_total,missed_gt_total,false_positive_total,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
one_stage,yolo11m,best,test,p3os_yolo11m_640_s42_e60fix,detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3os_yolo11m_640_s42_e60fix/weights/best.pt,0.1,0.49410030761179724,0.5910578847863038,0.5382475748423461,0.5018626224759173,0.2594995306901183,,,0.6565798733286418,2842,5149,438,2745,0.3978931362072557,0.6320955082161285,0.4835487111538046,0.3694906478119888,0.6565798733286418,0.46855481973888846
one_stage,yolo11m,best,val,p3os_yolo11m_640_s42_e60fix,detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3os_yolo11m_640_s42_e60fix/weights/best.pt,0.1,0.5160895467885428,0.6002582748302572,0.5550008966990275,0.5371943280267729,0.2659351854689833,,,0.6751615218951902,2786,5143,387,2744,0.38974418200735395,0.6622952743613705,0.48868845207974615,0.36731357227269074,0.6751615218951902,0.4736769381209764
one_stage,yolo11m,last,test,p3os_yolo11m_640_s42_e60fix,detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3os_yolo11m_640_s42_e60fix/weights/last.pt,0.1,0.4943981140753659,0.5562910226057957,0.5235216066325838,0.48402586343180226,0.24697143989091774,,,0.6375791695988741,2842,4957,467,2582,0.41183145511700575,0.6051451956080792,0.4798876274521364,0.3825748579291694,0.6375791695988741,0.47052222506027663
one_stage,yolo11m,last,val,p3os_yolo11m_640_s42_e60fix,detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3os_yolo11m_640_s42_e60fix/weights/last.pt,0.1,0.5010918388470724,0.5629941040412151,0.5302424164881386,0.49959701952860563,0.24257365491584962,,,0.6468054558506819,2786,4876,432,2522,0.4088606693403495,0.6306516072892913,0.4901906839786444,0.37931188435703006,0.6468054558506819,0.47372984826355713
one_stage,yolov8s,best,test,p3os_yolov8s_640_s42_e60fix,detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3os_yolov8s_640_s42_e60fix/weights/best.pt,0.1,0.49681915296031043,0.5812770763844937,0.5357399031069743,0.5062985098174978,0.26189549122408223,,,0.6421534130893737,2842,5044,451,2653,0.38804166200202445,0.6158432576778344,0.47197856163078045,0.3646001517655445,0.6421534130893737,0.46055703944819726
one_stage,yolov8s,best,val,p3os_yolov8s_640_s42_e60fix,detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3os_yolov8s_640_s42_e60fix/weights/best.pt,0.1,0.4964991448161139,0.5834888879383455,0.5364906370901593,0.524362382425673,0.2673054350357905,,,0.6421392677674085,2786,4868,468,2550,0.38627393928686843,0.6308363854673841,0.4765401030357232,0.3665214295493758,0.6421392677674085,0.46358836730540215
one_stage,yolov8s,last,test,p3os_yolov8s_640_s42_e60fix,detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3os_yolov8s_640_s42_e60fix/weights/last.pt,0.2,0.46258145527555866,0.5431034290444747,0.49961887364430524,0.4621218196199782,0.23784208588504666,,,0.5552427867698804,2842,3583,618,1359,0.46656108499438453,0.5158372856117608,0.4839385025220607,0.44229138593877865,0.5552427867698804,0.4857101243871921
one_stage,yolov8s,last,val,p3os_yolov8s_640_s42_e60fix,detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3os_yolov8s_640_s42_e60fix/weights/last.pt,0.2,0.5053514288288228,0.5352247862211477,0.5198592982417332,0.4776129966941458,0.23359650041579494,,,0.5588657573582196,2786,3494,605,1313,0.47003610822314046,0.5383537569327542,0.49867296689712765,0.4451119581285878,0.5588657573582196,0.4917705044244813
two_stage_end_to_end,yolo11n_singlecls+yolo11ncls_gtcrop,best,test,p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30+p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30,detection_like_classification,,0.25,0.4707403815066279,0.5123152709359606,0.4906486941870261,,,,,0.5123152709359606,2842,3093,602,853,0.5009589235528771,0.48509799928604563,0.47998504801770037,0.46814230372237475,0.5123152709359606,0.4736843011600923
two_stage_end_to_end,yolo11n_singlecls+yolo11ncls_gtcrop,best,val,p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30+p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30,detection_like_classification,,0.25,0.4730043060616098,0.5125628140703518,0.49198966408268735,,,,,0.5125628140703518,2786,3019,594,827,0.49592859653930665,0.4940654395012844,0.48118928041209813,0.467209725764733,0.5125628140703519,0.4731341511805755
