branch,candidate,checkpoint,split,class_idx,class_name,precision,recall,f1,support,predicted,true_positive,false_positive,false_negative,missed_gt,map50,map50_95,ultralytics_precision,ultralytics_recall
one_stage,yolo11m,last,test,0,B1,0.6481012658227848,0.7619047619047619,0.7004103967168263,336,395,256,139,80,24,0.8132639617977768,0.493822439510813,0.7362526214009923,0.7857142857142857
one_stage,yolo11m,last,test,1,B2,0.34809348093480935,0.45792880258899676,0.39552760307477286,618,813,283,530,335,75,0.3612489346150253,0.1902563508921657,0.41387531772757163,0.5050257073715192
one_stage,yolo11m,last,test,2,B3,0.3659043659043659,0.7862993298585257,0.4994088436982738,1343,2886,1056,1830,287,214,0.5207741077052148,0.25252947479589233,0.47117895815134375,0.7386448250186151
one_stage,yolo11m,last,test,3,B4,0.28044692737430166,0.46055045871559636,0.3486111111111111,545,895,251,644,294,136,0.33721967941236763,0.14068515484495378,0.39369360590988156,0.3669724770642202
one_stage,yolo11m,last,val,0,B1,0.6508728179551122,0.867109634551495,0.7435897435897436,301,401,261,140,40,6,0.8737836204664273,0.5474975210926198,0.741549813532709,0.8604651162790697
one_stage,yolo11m,last,val,1,B2,0.42224744608399545,0.6078431372549019,0.4983255190890824,612,881,372,509,240,52,0.5182337803093789,0.3074574371890827,0.5105697771892009,0.5849673202614379
one_stage,yolo11m,last,val,2,B3,0.40590925079141754,0.8749052312357847,0.5545410860163382,1319,2843,1154,1689,165,106,0.6467650027675547,0.3485109183426118,0.5437626089080856,0.7763457164518575
one_stage,yolo11m,last,val,3,B4,0.37320044296788485,0.6083032490974729,0.46259437199725467,554,903,337,566,217,77,0.494919218942885,0.23281782009341856,0.5597585631110897,0.42918292894282084
one_stage,yolov8s,last,test,0,B1,0.6237623762376238,0.75,0.681081081081081,336,404,252,152,84,25,0.7995233411022324,0.47627618431655494,0.7065038875427954,0.7678571428571429
one_stage,yolov8s,last,test,1,B2,0.35336538461538464,0.47572815533980584,0.4055172413793104,618,832,294,538,324,77,0.3495776481895636,0.18266122779852095,0.4051623872757338,0.45145631067961167
one_stage,yolov8s,last,test,2,B3,0.36096895257591266,0.7877885331347729,0.49508656995788486,1343,2931,1058,1873,285,195,0.5131249458562519,0.24434510429473533,0.4687999360823694,0.731198808637379
one_stage,yolov8s,last,test,3,B4,0.27671541057367827,0.45137614678899085,0.3430962343096234,545,889,246,643,299,125,0.3226153912732089,0.13687323624140396,0.39571383797282444,0.3522935779816514
one_stage,yolov8s,last,val,0,B1,0.6839378238341969,0.8770764119601329,0.7685589519650654,301,386,264,122,37,5,0.8887866508053193,0.5582805803672535,0.7871369769928455,0.8803986710963455
one_stage,yolov8s,last,val,1,B2,0.4461722488038278,0.6094771241830066,0.5151933701657458,612,836,373,463,239,46,0.5541813977336734,0.3314580022384999,0.5387117373311532,0.5882352941176471
one_stage,yolov8s,last,val,2,B3,0.4143213395083719,0.8817285822592873,0.5637421231216675,1319,2807,1163,1644,156,99,0.6743582924763034,0.3706005247897442,0.5593907192193444,0.7912043962081869
one_stage,yolov8s,last,val,3,B4,0.3796095444685466,0.631768953068592,0.47425474254742545,554,922,350,572,204,70,0.5425059128542574,0.26085201161813615,0.6028356770749598,0.5018050541516246
