epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.468,1.07001,0.60337,1,0.86399,0.000412371,0.000412371,0.000412371
2,55.3617,0.90351,0.59009,1,0.88383,0.00080168,0.00080168,0.00080168
3,86.3091,0.88295,0.57215,1,0.98074,0.00116349,0.00116349,0.00116349
4,112.598,0.8732,0.5962,1,0.85591,0.00112625,0.00112625,0.00112625
5,129.686,0.84595,0.61414,1,0.80673,0.001085,0.001085,0.001085
6,147.608,0.82211,0.59907,1,0.85729,0.00104375,0.00104375,0.00104375
7,167.901,0.81494,0.61378,1,0.82107,0.0010025,0.0010025,0.0010025
8,195.093,0.81012,0.61307,1,0.83243,0.00096125,0.00096125,0.00096125
9,227.002,0.79447,0.61127,1,0.81166,0.00092,0.00092,0.00092
10,256.817,0.78395,0.59907,1,0.82426,0.00087875,0.00087875,0.00087875
11,288.506,0.7784,0.6267,1,0.79616,0.0008375,0.0008375,0.0008375
12,317.277,0.76603,0.63783,1,0.78902,0.00079625,0.00079625,0.00079625
13,347.797,0.76672,0.61881,1,0.79843,0.000755,0.000755,0.000755
14,377.265,0.74672,0.61271,1,0.81689,0.00071375,0.00071375,0.00071375
15,405.106,0.74854,0.6285,1,0.79812,0.0006725,0.0006725,0.0006725
16,432.667,0.74006,0.60625,1,0.84996,0.00063125,0.00063125,0.00063125
17,460.998,0.73162,0.63029,1,0.78649,0.00059,0.00059,0.00059
18,490.887,0.71774,0.6267,1,0.81845,0.00054875,0.00054875,0.00054875
19,522.365,0.7108,0.60445,1,0.83261,0.0005075,0.0005075,0.0005075
20,541.683,0.69639,0.61989,1,0.82258,0.00046625,0.00046625,0.00046625
21,567.895,0.68382,0.6285,1,0.81468,0.000425,0.000425,0.000425
22,596.96,0.67165,0.60804,1,0.85591,0.00038375,0.00038375,0.00038375
23,623.319,0.66492,0.61378,1,0.84779,0.0003425,0.0003425,0.0003425
24,654.967,0.64227,0.61737,1,0.83501,0.00030125,0.00030125,0.00030125
25,685.816,0.62803,0.61594,1,0.84708,0.00026,0.00026,0.00026
26,716.606,0.62156,0.61881,1,0.86182,0.00021875,0.00021875,0.00021875
27,747.376,0.5951,0.61055,1,0.8968,0.0001775,0.0001775,0.0001775
28,778.265,0.58468,0.61055,1,0.87469,0.00013625,0.00013625,0.00013625
29,808.877,0.56805,0.61701,1,0.88281,9.5e-05,9.5e-05,9.5e-05
30,834.618,0.55709,0.61522,1,0.8948,5.375e-05,5.375e-05,5.375e-05
