epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.4549,1.02247,0.52907,1,1.17392,0.00329897,0.00329897,0.0703093
2,33.391,0.95818,0.59261,1,0.90594,0.00641344,0.00641344,0.0400904
3,43.0055,0.96304,0.51113,1,1.09233,0.0093079,0.0093079,0.00965155
4,52.7647,0.95664,0.44616,1,1.21564,0.00901,0.00901,0.00901
5,62.673,0.93611,0.58291,1,0.94877,0.00868,0.00868,0.00868
6,72.7016,0.93181,0.58435,1,0.94682,0.00835,0.00835,0.00835
7,82.2803,0.91078,0.59368,1,0.89369,0.00802,0.00802,0.00802
8,92.0107,0.89961,0.58004,1,0.88263,0.00769,0.00769,0.00769
9,101.607,0.88651,0.60983,1,0.87971,0.00736,0.00736,0.00736
10,111.711,0.87178,0.59476,1,0.91473,0.00703,0.00703,0.00703
11,121.908,0.8734,0.6023,1,0.89449,0.0067,0.0067,0.0067
12,131.726,0.87034,0.62204,1,0.81206,0.00637,0.00637,0.00637
13,141.762,0.85578,0.61307,1,0.85645,0.00604,0.00604,0.00604
14,151.853,0.85461,0.61665,1,0.84899,0.00571,0.00571,0.00571
15,162.191,0.84891,0.57215,1,0.94434,0.00538,0.00538,0.00538
16,172.017,0.84713,0.56963,1,0.89311,0.00505,0.00505,0.00505
17,181.607,0.84382,0.61522,1,0.82968,0.00472,0.00472,0.00472
18,191.74,0.83544,0.61414,1,0.85161,0.00439,0.00439,0.00439
19,201.994,0.83211,0.6084,1,0.81951,0.00406,0.00406,0.00406
20,212.427,0.82559,0.61522,1,0.82675,0.00373,0.00373,0.00373
21,224.234,0.81824,0.62886,1,0.79594,0.0034,0.0034,0.0034
22,234.826,0.81245,0.62347,1,0.79918,0.00307,0.00307,0.00307
23,245.287,0.81221,0.62922,1,0.81277,0.00274,0.00274,0.00274
24,255.893,0.8107,0.62491,1,0.81157,0.00241,0.00241,0.00241
25,266.345,0.8047,0.62599,1,0.7915,0.00208,0.00208,0.00208
26,276.596,0.78919,0.62455,1,0.80376,0.00175,0.00175,0.00175
27,287.154,0.792,0.64322,1,0.78422,0.00142,0.00142,0.00142
28,297.424,0.7795,0.62491,1,0.79528,0.00109,0.00109,0.00109
29,307.628,0.77762,0.63424,1,0.78027,0.00076,0.00076,0.00076
30,318.005,0.76838,0.63388,1,0.78311,0.00043,0.00043,0.00043
