epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0137,2.17606,3.15598,1.54223,0.33193,0.42009,0.28712,0.11754,2.00882,2.54241,1.47065,0.000414258,0.000414258,0.000414258
2,46.2288,1.94225,2.10767,1.40284,0.36325,0.49671,0.39296,0.16585,1.95318,1.9207,1.4695,0.000803504,0.000803504,0.000803504
3,65.5765,1.93136,1.94831,1.40861,0.41641,0.53934,0.41938,0.18431,1.96434,1.92791,1.4542,0.00116525,0.00116525,0.00116525
4,84.4778,1.8892,1.84434,1.40674,0.43284,0.52494,0.42955,0.18826,1.92157,1.82367,1.47872,0.00112625,0.00112625,0.00112625
5,103.462,1.88817,1.76475,1.40029,0.44396,0.53227,0.4387,0.19406,1.97031,1.76302,1.47173,0.001085,0.001085,0.001085
6,122.415,1.86492,1.73431,1.39115,0.44829,0.56152,0.45908,0.20813,1.89519,1.71815,1.44156,0.00104375,0.00104375,0.00104375
7,141.275,1.85081,1.68588,1.38714,0.45115,0.57631,0.4672,0.21264,1.92981,1.66494,1.43382,0.0010025,0.0010025,0.0010025
8,159.936,1.82823,1.65419,1.38008,0.43928,0.59942,0.48931,0.22769,1.90086,1.65314,1.42072,0.00096125,0.00096125,0.00096125
9,178.6,1.8427,1.65711,1.38227,0.42512,0.59621,0.48294,0.22634,1.91586,1.6239,1.40249,0.00092,0.00092,0.00092
10,196.973,1.83699,1.63688,1.3823,0.4506,0.55825,0.47283,0.21848,1.88071,1.65087,1.43259,0.00087875,0.00087875,0.00087875
11,215.086,1.81281,1.59733,1.36342,0.4768,0.58385,0.50401,0.23722,1.89705,1.58114,1.42582,0.0008375,0.0008375,0.0008375
12,234.032,1.80783,1.60864,1.36623,0.45176,0.58298,0.48773,0.22478,1.88695,1.60056,1.42239,0.00079625,0.00079625,0.00079625
13,252.59,1.79742,1.57811,1.36114,0.47827,0.57798,0.50691,0.24099,1.89378,1.58883,1.42453,0.000755,0.000755,0.000755
14,271.097,1.78681,1.57545,1.35261,0.47009,0.57007,0.48199,0.22555,1.87595,1.60477,1.41408,0.00071375,0.00071375,0.00071375
15,289.558,1.78489,1.55685,1.35498,0.48436,0.59042,0.51259,0.247,1.85581,1.55816,1.40374,0.0006725,0.0006725,0.0006725
16,308.537,1.7694,1.54144,1.34419,0.46461,0.57823,0.48323,0.22769,1.8875,1.58513,1.42314,0.00063125,0.00063125,0.00063125
17,327.597,1.77624,1.54082,1.34886,0.49439,0.59696,0.5156,0.24451,1.85957,1.56817,1.41148,0.00059,0.00059,0.00059
18,346.784,1.76104,1.51565,1.34028,0.47512,0.59607,0.50936,0.23837,1.87747,1.56117,1.40505,0.00054875,0.00054875,0.00054875
19,365.488,1.76325,1.53138,1.33681,0.49142,0.58801,0.52418,0.25407,1.85259,1.54396,1.40207,0.0005075,0.0005075,0.0005075
20,384.238,1.74368,1.50006,1.33216,0.47743,0.59208,0.50512,0.24343,1.8671,1.58396,1.42033,0.00046625,0.00046625,0.00046625
21,404.469,1.74302,1.49849,1.3741,0.48081,0.55787,0.50035,0.23902,1.8434,1.59244,1.39338,0.000425,0.000425,0.000425
22,422.67,1.73082,1.47607,1.36983,0.49176,0.56764,0.5085,0.24168,1.85643,1.57452,1.4053,0.00038375,0.00038375,0.00038375
23,441.084,1.72349,1.47195,1.35747,0.48072,0.57295,0.50354,0.2351,1.86973,1.57111,1.41084,0.0003425,0.0003425,0.0003425
24,459.841,1.71616,1.44818,1.35402,0.48256,0.60514,0.52309,0.24692,1.86863,1.52367,1.40644,0.00030125,0.00030125,0.00030125
25,478.545,1.70806,1.437,1.35487,0.48277,0.60672,0.51387,0.24926,1.84651,1.54608,1.40512,0.00026,0.00026,0.00026
26,497.618,1.69843,1.4213,1.34866,0.48942,0.57502,0.50685,0.24315,1.87457,1.56501,1.42074,0.00021875,0.00021875,0.00021875
27,516.649,1.69078,1.41016,1.34016,0.50392,0.56887,0.50861,0.24149,1.8705,1.55967,1.41632,0.0001775,0.0001775,0.0001775
28,535.784,1.68205,1.39407,1.33926,0.48458,0.59086,0.51559,0.24496,1.85645,1.54279,1.40511,0.00013625,0.00013625,0.00013625
29,554.076,1.6673,1.38955,1.33714,0.50773,0.57281,0.51686,0.24659,1.86761,1.54402,1.40918,9.5e-05,9.5e-05,9.5e-05
30,572.628,1.66424,1.36884,1.32706,0.49662,0.60187,0.52657,0.24987,1.8649,1.52165,1.408,5.375e-05,5.375e-05,5.375e-05
