epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6601,2.04062,3.24345,1.62883,0.37954,0.47836,0.35212,0.14464,1.95093,2.16981,1.49012,0.000415462,0.000415462,0.000415462
2,83.5986,1.88419,2.26868,1.48766,0.41003,0.52257,0.43013,0.19071,1.89338,1.98273,1.50507,0.000804669,0.000804669,0.000804669
3,121.071,1.87226,2.03635,1.51624,0.40535,0.53822,0.43413,0.19525,1.8808,1.89051,1.56236,0.00116638,0.00116638,0.00116638
4,158.054,1.8429,1.89581,1.50378,0.44141,0.5665,0.46548,0.21155,1.91301,1.75635,1.54985,0.00112625,0.00112625,0.00112625
5,195.703,1.83691,1.8398,1.49634,0.45254,0.55466,0.46652,0.21807,1.85461,1.74711,1.49791,0.001085,0.001085,0.001085
6,233.57,1.81239,1.80618,1.48676,0.42435,0.56834,0.46091,0.20501,1.9032,1.77377,1.54256,0.00104375,0.00104375,0.00104375
7,271.024,1.80425,1.75607,1.47833,0.44941,0.55863,0.47716,0.22974,1.81976,1.69892,1.50659,0.0010025,0.0010025,0.0010025
8,308.574,1.78937,1.74081,1.47263,0.44163,0.59504,0.48121,0.22247,1.84249,1.68659,1.49952,0.00096125,0.00096125,0.00096125
9,346.047,1.79747,1.72824,1.48059,0.45036,0.53098,0.47018,0.22131,1.80972,1.75862,1.5176,0.00092,0.00092,0.00092
10,383.044,1.77168,1.69344,1.47147,0.4382,0.58375,0.48836,0.23223,1.85465,1.67774,1.52239,0.00087875,0.00087875,0.00087875
11,421.138,1.76846,1.68248,1.46794,0.49246,0.54242,0.49487,0.23579,1.79593,1.68081,1.50638,0.0008375,0.0008375,0.0008375
12,458.907,1.76592,1.6731,1.46494,0.46735,0.59017,0.50072,0.23926,1.81566,1.6666,1.51194,0.00079625,0.00079625,0.00079625
13,496.428,1.74808,1.64538,1.45842,0.47393,0.59879,0.5138,0.24213,1.86558,1.60554,1.53234,0.000755,0.000755,0.000755
14,534.233,1.74751,1.63894,1.45779,0.47186,0.5858,0.50331,0.24122,1.82446,1.65173,1.5271,0.00071375,0.00071375,0.00071375
15,571.967,1.73787,1.61626,1.44891,0.47727,0.56688,0.49685,0.2397,1.80137,1.65355,1.49765,0.0006725,0.0006725,0.0006725
16,609.037,1.73479,1.61137,1.45164,0.48475,0.59156,0.52123,0.24748,1.80191,1.61468,1.51118,0.00063125,0.00063125,0.00063125
17,646.076,1.72509,1.5958,1.44724,0.44876,0.58383,0.51017,0.24513,1.81093,1.6263,1.50763,0.00059,0.00059,0.00059
18,683.713,1.7201,1.59125,1.43692,0.48856,0.60212,0.53601,0.25709,1.82833,1.56548,1.51886,0.00054875,0.00054875,0.00054875
19,721.832,1.71895,1.58313,1.4493,0.47719,0.59419,0.51432,0.24746,1.8094,1.60529,1.50065,0.0005075,0.0005075,0.0005075
20,758.827,1.70897,1.5609,1.43236,0.4727,0.58667,0.5087,0.24503,1.83904,1.60952,1.52137,0.00046625,0.00046625,0.00046625
21,796.726,1.70675,1.53252,1.44003,0.46905,0.58037,0.51166,0.24624,1.80917,1.60343,1.49371,0.000425,0.000425,0.000425
22,833.33,1.69244,1.51227,1.43562,0.48488,0.58647,0.51482,0.24607,1.8127,1.6105,1.50159,0.00038375,0.00038375,0.00038375
23,869.766,1.67847,1.50067,1.43171,0.50636,0.57863,0.5215,0.2543,1.8024,1.60923,1.50979,0.0003425,0.0003425,0.0003425
24,906.278,1.67233,1.47699,1.43036,0.49283,0.58696,0.52049,0.25009,1.82768,1.58241,1.5249,0.00030125,0.00030125,0.00030125
25,943.264,1.6658,1.46774,1.42977,0.47548,0.60432,0.51956,0.25285,1.80735,1.58741,1.50877,0.00026,0.00026,0.00026
26,979.945,1.6562,1.45999,1.42081,0.48675,0.5849,0.52235,0.24968,1.81443,1.59628,1.52126,0.00021875,0.00021875,0.00021875
27,1016.38,1.64889,1.44322,1.41504,0.47912,0.59352,0.51479,0.25113,1.81521,1.6082,1.52076,0.0001775,0.0001775,0.0001775
28,1053.61,1.63776,1.42408,1.40964,0.51213,0.57084,0.52186,0.25704,1.80585,1.59589,1.51277,0.00013625,0.00013625,0.00013625
29,1090.87,1.62917,1.41095,1.40511,0.52056,0.5736,0.52909,0.25636,1.82068,1.57134,1.51573,9.5e-05,9.5e-05,9.5e-05
30,1127.92,1.62536,1.39956,1.40382,0.492,0.58968,0.52695,0.25555,1.81413,1.56781,1.51396,5.375e-05,5.375e-05,5.375e-05
