epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3276,2.1235,2.19483,1.57917,0.67024,0.57753,0.64462,0.26857,1.97566,1.88704,1.50152,0.000662813,0.000662813,0.000662813
2,44.8702,1.95043,1.51666,1.45853,0.70585,0.6267,0.70813,0.30045,1.94854,1.61961,1.51306,0.00128561,0.00128561,0.00128561
3,63.2322,1.94869,1.42114,1.45426,0.72158,0.6614,0.73307,0.31381,1.95732,1.35941,1.45137,0.0018644,0.0018644,0.0018644
4,81.3926,1.90847,1.34792,1.44249,0.7366,0.65255,0.74395,0.31861,1.95566,1.3607,1.49144,0.001802,0.001802,0.001802
5,99.3183,1.9013,1.30496,1.43424,0.71403,0.62778,0.70779,0.30224,1.98414,1.37946,1.53023,0.001736,0.001736,0.001736
6,116.903,1.88662,1.28287,1.41727,0.73412,0.64609,0.74326,0.32936,1.91923,1.30455,1.4807,0.00167,0.00167,0.00167
7,135.354,1.86781,1.25828,1.4122,0.78154,0.66129,0.76633,0.34469,1.90722,1.29738,1.45735,0.001604,0.001604,0.001604
8,153.169,1.84222,1.2313,1.40475,0.77817,0.6705,0.7739,0.35542,1.87376,1.2208,1.43724,0.001538,0.001538,0.001538
9,170.889,1.86018,1.22947,1.40671,0.77584,0.68328,0.78301,0.35182,1.8941,1.20932,1.42468,0.001472,0.001472,0.001472
10,188.65,1.84482,1.20467,1.40422,0.76894,0.67301,0.76979,0.33854,1.93142,1.2395,1.48229,0.001406,0.001406,0.001406
11,206.798,1.82939,1.18139,1.38107,0.79162,0.70747,0.79486,0.36075,1.90507,1.16914,1.43866,0.00134,0.00134,0.00134
12,225.407,1.82524,1.18785,1.3858,0.78701,0.69311,0.78902,0.36606,1.86404,1.19115,1.4267,0.001274,0.001274,0.001274
13,243.624,1.80962,1.15986,1.37827,0.79442,0.67963,0.7807,0.35647,1.89894,1.1971,1.44617,0.001208,0.001208,0.001208
14,261.783,1.80202,1.15718,1.37116,0.79439,0.72146,0.81185,0.37352,1.88198,1.12685,1.42092,0.001142,0.001142,0.001142
15,279.886,1.79706,1.15187,1.36645,0.79041,0.70029,0.79472,0.37118,1.85499,1.15114,1.40725,0.001076,0.001076,0.001076
16,297.929,1.78567,1.1337,1.36122,0.78635,0.71733,0.80039,0.36135,1.88684,1.15023,1.44155,0.00101,0.00101,0.00101
17,315.771,1.79308,1.13487,1.36337,0.79621,0.70398,0.79896,0.36433,1.86404,1.14703,1.42338,0.000944,0.000944,0.000944
18,333.887,1.77461,1.11304,1.3528,0.80398,0.70782,0.80977,0.36914,1.87141,1.13636,1.41346,0.000878,0.000878,0.000878
19,351.773,1.77425,1.11806,1.34863,0.80671,0.69511,0.79707,0.37083,1.85892,1.15881,1.4162,0.000812,0.000812,0.000812
20,369.868,1.7621,1.10356,1.35,0.77703,0.71048,0.79697,0.36552,1.86821,1.15184,1.41837,0.000746,0.000746,0.000746
21,389.38,1.75712,1.10187,1.38953,0.79914,0.70711,0.80468,0.37576,1.83823,1.14362,1.38965,0.00068,0.00068,0.00068
22,407.231,1.75078,1.08411,1.38625,0.78569,0.71584,0.80812,0.37457,1.84951,1.13532,1.41364,0.000614,0.000614,0.000614
23,425.642,1.73637,1.08725,1.37327,0.77923,0.70998,0.80114,0.37083,1.84321,1.13599,1.3993,0.000548,0.000548,0.000548
24,443.223,1.73092,1.07188,1.36862,0.81572,0.72972,0.81945,0.37989,1.84691,1.10827,1.4076,0.000482,0.000482,0.000482
25,461.269,1.72832,1.06704,1.37449,0.79567,0.71841,0.81268,0.37921,1.84072,1.11037,1.40862,0.000416,0.000416,0.000416
26,478.935,1.71796,1.05003,1.36751,0.8065,0.72649,0.81193,0.37536,1.86422,1.10753,1.41943,0.00035,0.00035,0.00035
27,496.796,1.70917,1.04049,1.35613,0.80991,0.73044,0.81729,0.38094,1.84921,1.09341,1.41493,0.000284,0.000284,0.000284
28,515.676,1.70134,1.02924,1.35532,0.80242,0.72886,0.81792,0.38427,1.83945,1.09159,1.40425,0.000218,0.000218,0.000218
29,533.634,1.68265,1.03029,1.35165,0.80994,0.73882,0.82435,0.38531,1.85085,1.07908,1.40751,0.000152,0.000152,0.000152
30,551.436,1.67947,1.01357,1.34095,0.80666,0.7383,0.82501,0.38445,1.84913,1.07665,1.40567,8.6e-05,8.6e-05,8.6e-05
