epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.606,1.99781,2.33431,1.6771,0.38554,0.48508,0.37654,0.16382,1.99158,2.00227,1.72302,0.000414258,0.000414258,0.000414258
2,76.9707,1.90544,1.78568,1.61,0.41006,0.51211,0.41832,0.18594,2.02742,1.86817,1.78708,0.000803504,0.000803504,0.000803504
3,112.911,1.9092,1.72914,1.58414,0.41584,0.55462,0.43376,0.18936,2.01032,1.8698,1.7667,0.00116525,0.00116525,0.00116525
4,148.449,1.87281,1.70675,1.57669,0.41698,0.55149,0.44896,0.2067,1.92817,1.7598,1.69036,0.00112625,0.00112625,0.00112625
5,183.758,1.85933,1.66048,1.56607,0.4571,0.55603,0.47056,0.21984,1.9211,1.65241,1.68555,0.001085,0.001085,0.001085
6,219.235,1.83851,1.63209,1.54044,0.44241,0.56155,0.46505,0.21229,1.87859,1.69699,1.6532,0.00104375,0.00104375,0.00104375
7,254.447,1.82038,1.59393,1.53236,0.44579,0.56205,0.46111,0.20318,2.00367,1.63471,1.75038,0.0010025,0.0010025,0.0010025
8,289.404,1.79957,1.56112,1.52553,0.47384,0.57375,0.49287,0.22732,1.92686,1.61556,1.68823,0.00096125,0.00096125,0.00096125
9,324.536,1.80272,1.56848,1.51997,0.43733,0.61434,0.48793,0.22647,1.91794,1.57631,1.67744,0.00092,0.00092,0.00092
10,359.327,1.7923,1.54853,1.51179,0.4616,0.57671,0.48489,0.22352,1.91428,1.62215,1.66621,0.00087875,0.00087875,0.00087875
11,393.723,1.76923,1.50536,1.48834,0.46626,0.56453,0.49837,0.23306,1.90706,1.58487,1.64736,0.0008375,0.0008375,0.0008375
12,429.142,1.76032,1.5214,1.49497,0.48507,0.60293,0.51332,0.24054,1.90412,1.53491,1.65941,0.00079625,0.00079625,0.00079625
13,464.307,1.74648,1.48402,1.48062,0.46851,0.60393,0.51483,0.24683,1.87582,1.51315,1.65631,0.000755,0.000755,0.000755
14,499.748,1.73382,1.46882,1.47992,0.49735,0.56127,0.50361,0.24167,1.85955,1.55577,1.63096,0.00071375,0.00071375,0.00071375
15,535.065,1.73668,1.46602,1.48225,0.49173,0.59536,0.51299,0.24374,1.86205,1.52751,1.62331,0.0006725,0.0006725,0.0006725
16,569.779,1.70592,1.44017,1.46147,0.49305,0.58737,0.51135,0.23868,1.88213,1.52501,1.66434,0.00063125,0.00063125,0.00063125
17,604.354,1.71683,1.42635,1.46889,0.48232,0.60001,0.51575,0.2375,1.88465,1.52491,1.66295,0.00059,0.00059,0.00059
18,639.003,1.69465,1.40512,1.45228,0.48005,0.59417,0.49862,0.22817,1.89855,1.54711,1.6581,0.00054875,0.00054875,0.00054875
19,673.859,1.68978,1.40178,1.4498,0.49498,0.60005,0.51743,0.23858,1.89942,1.50857,1.66141,0.0005075,0.0005075,0.0005075
20,708.598,1.66428,1.37703,1.4461,0.50062,0.6008,0.52551,0.24976,1.87127,1.50903,1.65034,0.00046625,0.00046625,0.00046625
21,745.325,1.67227,1.38859,1.51576,0.47948,0.58468,0.50502,0.23823,1.86682,1.53415,1.63711,0.000425,0.000425,0.000425
22,780.044,1.65902,1.35577,1.51734,0.47427,0.58227,0.49922,0.23912,1.88146,1.53839,1.64258,0.00038375,0.00038375,0.00038375
23,814.642,1.64527,1.35119,1.50198,0.48563,0.60084,0.51954,0.24531,1.87916,1.49338,1.66259,0.0003425,0.0003425,0.0003425
24,849.341,1.6251,1.3177,1.49679,0.49074,0.60199,0.52431,0.25029,1.87939,1.48191,1.66481,0.00030125,0.00030125,0.00030125
25,884.852,1.61102,1.2901,1.49217,0.48988,0.59535,0.51095,0.24455,1.9001,1.50044,1.69346,0.00026,0.00026,0.00026
26,919.312,1.59916,1.26889,1.48647,0.49159,0.61409,0.52019,0.24445,1.91633,1.46588,1.69672,0.00021875,0.00021875,0.00021875
27,953.661,1.57828,1.24506,1.46917,0.49991,0.60699,0.52355,0.24477,1.91503,1.48288,1.69995,0.0001775,0.0001775,0.0001775
28,988.206,1.56112,1.22284,1.46501,0.49295,0.59185,0.51563,0.24388,1.89758,1.4784,1.69013,0.00013625,0.00013625,0.00013625
29,1024.62,1.53959,1.18903,1.45963,0.50042,0.60338,0.51291,0.24169,1.92333,1.49196,1.71362,9.5e-05,9.5e-05,9.5e-05
30,1059.19,1.52857,1.17047,1.44636,0.50754,0.59947,0.52751,0.245,1.92337,1.47233,1.71194,5.375e-05,5.375e-05,5.375e-05
