epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8401,2.1387,2.89636,1.60508,0.40154,0.46563,0.36547,0.15359,1.99708,2.12972,1.45561,0.000414258,0.000414258,0.000414258
2,45.5276,1.91279,2.06113,1.42259,0.37465,0.48455,0.38775,0.17369,1.98342,1.96844,1.44665,0.000803504,0.000803504,0.000803504
3,63.1707,1.91172,1.91097,1.4218,0.40649,0.54278,0.43592,0.19155,1.94119,1.92332,1.46561,0.00116525,0.00116525,0.00116525
4,80.3998,1.87648,1.81167,1.39446,0.44117,0.52673,0.44929,0.20194,1.91485,1.74511,1.4261,0.00112625,0.00112625,0.00112625
5,97.7738,1.87077,1.75846,1.39298,0.44252,0.5569,0.45673,0.19985,1.93484,1.74309,1.45776,0.001085,0.001085,0.001085
6,115.036,1.85152,1.70995,1.38172,0.44404,0.56076,0.4705,0.21541,1.88793,1.71526,1.42824,0.00104375,0.00104375,0.00104375
7,131.963,1.83824,1.67476,1.37463,0.43478,0.58065,0.459,0.20561,1.92348,1.67434,1.44879,0.0010025,0.0010025,0.0010025
8,148.475,1.82571,1.65328,1.37857,0.47078,0.56451,0.47982,0.22336,1.91062,1.6647,1.42712,0.00096125,0.00096125,0.00096125
9,165.956,1.83041,1.64192,1.37818,0.43297,0.6023,0.49391,0.23212,1.87754,1.63498,1.40233,0.00092,0.00092,0.00092
10,182.821,1.81842,1.62299,1.37427,0.47107,0.56195,0.48224,0.22342,1.90001,1.6596,1.43505,0.00087875,0.00087875,0.00087875
11,199.588,1.8019,1.58498,1.35312,0.4649,0.58346,0.50043,0.23824,1.87936,1.59793,1.40647,0.0008375,0.0008375,0.0008375
12,216.971,1.79765,1.60058,1.35688,0.4751,0.58689,0.49587,0.23408,1.87142,1.6001,1.41001,0.00079625,0.00079625,0.00079625
13,233.863,1.78113,1.56626,1.34924,0.47977,0.59592,0.49285,0.23063,1.90373,1.5961,1.43106,0.000755,0.000755,0.000755
14,249.663,1.76841,1.55695,1.34232,0.47972,0.57883,0.50017,0.23513,1.87193,1.57471,1.39991,0.00071375,0.00071375,0.00071375
15,266.736,1.77465,1.54583,1.34295,0.46553,0.57508,0.50095,0.23768,1.87126,1.56456,1.41443,0.0006725,0.0006725,0.0006725
16,283.936,1.75643,1.52507,1.33521,0.48643,0.57422,0.5058,0.23454,1.87838,1.58006,1.43396,0.00063125,0.00063125,0.00063125
17,301.188,1.76457,1.5299,1.34161,0.47646,0.5959,0.50493,0.23693,1.89264,1.56977,1.42293,0.00059,0.00059,0.00059
18,318.164,1.74738,1.49957,1.32753,0.47396,0.56651,0.48858,0.22872,1.88362,1.60374,1.41798,0.00054875,0.00054875,0.00054875
19,334.295,1.75237,1.50162,1.32995,0.49488,0.58439,0.51426,0.24354,1.86176,1.55972,1.40747,0.0005075,0.0005075,0.0005075
20,351.333,1.72995,1.48158,1.32652,0.45833,0.58884,0.50193,0.24223,1.87888,1.56377,1.40747,0.00046625,0.00046625,0.00046625
21,369.509,1.72906,1.47628,1.36718,0.48833,0.57101,0.51041,0.24638,1.84478,1.56814,1.3912,0.000425,0.000425,0.000425
22,386.906,1.71804,1.46063,1.36254,0.49358,0.56861,0.51384,0.24657,1.8611,1.56052,1.41239,0.00038375,0.00038375,0.00038375
23,404.029,1.70283,1.44149,1.35004,0.48938,0.56684,0.50189,0.23943,1.85144,1.57344,1.41344,0.0003425,0.0003425,0.0003425
24,421.048,1.69479,1.42681,1.34582,0.48976,0.58122,0.5111,0.23854,1.86648,1.55593,1.42108,0.00030125,0.00030125,0.00030125
25,438.279,1.69079,1.41509,1.3476,0.4862,0.56457,0.51119,0.24244,1.85841,1.55897,1.41393,0.00026,0.00026,0.00026
26,455.242,1.67775,1.39627,1.33963,0.48041,0.57179,0.51839,0.24567,1.8662,1.53718,1.41994,0.00021875,0.00021875,0.00021875
27,472.24,1.66784,1.38256,1.3286,0.49503,0.57142,0.51807,0.24347,1.8778,1.5404,1.42187,0.0001775,0.0001775,0.0001775
28,489.389,1.66433,1.36415,1.32945,0.50222,0.5696,0.51774,0.24351,1.87383,1.54138,1.41545,0.00013625,0.00013625,0.00013625
29,506.102,1.64694,1.35592,1.32636,0.50573,0.57952,0.52194,0.24558,1.87923,1.52891,1.41883,9.5e-05,9.5e-05,9.5e-05
30,523.166,1.6429,1.33963,1.31566,0.49408,0.5783,0.5194,0.24576,1.8803,1.52248,1.42036,5.375e-05,5.375e-05,5.375e-05
