epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4414,2.06284,2.49196,1.68795,0.41263,0.53442,0.41139,0.18346,1.9352,1.9094,1.5602,0.000414258,0.000414258,0.000414258
2,50.1601,1.88863,1.79572,1.47529,0.39094,0.52507,0.42649,0.18542,1.96586,1.97758,1.57418,0.000803504,0.000803504,0.000803504
3,71.6443,1.88935,1.74678,1.46016,0.41426,0.54969,0.441,0.19612,2.01224,1.76654,1.53576,0.00116525,0.00116525,0.00116525
4,93.1905,1.85496,1.70163,1.42966,0.40238,0.53047,0.43542,0.19935,1.98236,1.78341,1.54096,0.00112625,0.00112625,0.00112625
5,115.139,1.85426,1.67447,1.4349,0.46845,0.55866,0.47538,0.21956,1.92196,1.67123,1.53035,0.001085,0.001085,0.001085
6,136.829,1.83024,1.63993,1.40589,0.446,0.57557,0.47881,0.22106,1.90451,1.64384,1.47364,0.00104375,0.00104375,0.00104375
7,158.442,1.81987,1.60088,1.39598,0.47016,0.56554,0.48805,0.21716,1.93702,1.62424,1.48811,0.0010025,0.0010025,0.0010025
8,179.611,1.79285,1.57729,1.40118,0.48726,0.56072,0.50998,0.2395,1.88087,1.58043,1.49161,0.00096125,0.00096125,0.00096125
9,201.281,1.80418,1.57423,1.40231,0.46417,0.59531,0.5078,0.24018,1.86803,1.58421,1.44511,0.00092,0.00092,0.00092
10,222.686,1.79582,1.5617,1.39617,0.49217,0.59145,0.5272,0.24878,1.89026,1.57424,1.47663,0.00087875,0.00087875,0.00087875
11,244.663,1.76824,1.51934,1.37037,0.46618,0.59172,0.50625,0.23853,1.89481,1.55631,1.45768,0.0008375,0.0008375,0.0008375
12,265.972,1.7673,1.5292,1.3715,0.49066,0.57996,0.49538,0.23026,1.88385,1.56196,1.45221,0.00079625,0.00079625,0.00079625
13,287.476,1.75121,1.48908,1.36181,0.47258,0.59641,0.51184,0.24525,1.89737,1.52603,1.4746,0.000755,0.000755,0.000755
14,309.436,1.73848,1.48677,1.35343,0.50253,0.57596,0.51817,0.24562,1.88713,1.53199,1.44057,0.00071375,0.00071375,0.00071375
15,330.874,1.7371,1.48323,1.35252,0.48746,0.59294,0.50999,0.23764,1.88203,1.5307,1.46278,0.0006725,0.0006725,0.0006725
16,352.487,1.71723,1.45331,1.34592,0.49159,0.59158,0.51373,0.24516,1.85643,1.53333,1.45783,0.00063125,0.00063125,0.00063125
17,373.879,1.72341,1.45098,1.34596,0.4736,0.57018,0.50315,0.23123,1.91533,1.54738,1.47066,0.00059,0.00059,0.00059
18,395.671,1.70808,1.42233,1.33256,0.49408,0.57001,0.49365,0.22821,1.89821,1.5719,1.45705,0.00054875,0.00054875,0.00054875
19,417.258,1.70117,1.42172,1.32975,0.4931,0.58528,0.52275,0.24901,1.86467,1.51124,1.43567,0.0005075,0.0005075,0.0005075
20,439.21,1.68683,1.39418,1.33303,0.50105,0.58946,0.51716,0.24311,1.88294,1.51177,1.46407,0.00046625,0.00046625,0.00046625
21,461.836,1.69053,1.39798,1.3738,0.5069,0.57843,0.515,0.24321,1.87521,1.53424,1.43629,0.000425,0.000425,0.000425
22,483.153,1.67616,1.37125,1.36839,0.49673,0.58341,0.50953,0.24212,1.86897,1.53722,1.45068,0.00038375,0.00038375,0.00038375
23,504.368,1.65681,1.35996,1.34549,0.48344,0.59,0.50742,0.23958,1.87054,1.54016,1.45104,0.0003425,0.0003425,0.0003425
24,525.127,1.64642,1.32764,1.3388,0.48937,0.58791,0.51329,0.24246,1.88632,1.52506,1.45423,0.00030125,0.00030125,0.00030125
25,546.018,1.62834,1.31837,1.34119,0.49175,0.59097,0.51724,0.24422,1.89214,1.51356,1.47373,0.00026,0.00026,0.00026
26,566.956,1.61674,1.28979,1.33383,0.49404,0.56156,0.50623,0.23982,1.88564,1.52357,1.46343,0.00021875,0.00021875,0.00021875
27,587.812,1.60402,1.27287,1.32016,0.49877,0.58862,0.51164,0.23876,1.9041,1.54639,1.47842,0.0001775,0.0001775,0.0001775
28,608.888,1.59125,1.24759,1.31618,0.48593,0.57896,0.50966,0.23976,1.89318,1.52227,1.47256,0.00013625,0.00013625,0.00013625
29,629.825,1.57196,1.21897,1.31322,0.49995,0.58284,0.51204,0.24138,1.90585,1.53504,1.4735,9.5e-05,9.5e-05,9.5e-05
30,651.04,1.56369,1.20548,1.30115,0.50324,0.57506,0.51649,0.2441,1.91011,1.51332,1.47956,5.375e-05,5.375e-05,5.375e-05
