epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8502,1.97975,2.87884,0.00876,0.32233,0.44755,0.32646,0.14055,1.83094,2.23668,0.01021,0.000331407,0.000331407,0.0671908
2,95.3691,1.89973,2.02676,0.00849,0.41754,0.5274,0.42745,0.17627,1.92999,1.84273,0.01098,0.000642803,0.000642803,0.0341688
3,140.483,1.88514,1.92683,0.00829,0.38076,0.53573,0.41904,0.17691,1.94276,1.93355,0.01089,0.0009322,0.0009322,0.00112488
4,184.756,1.85867,1.87686,0.00836,0.41711,0.55924,0.45603,0.20197,1.90998,1.76098,0.01083,0.000901,0.000901,0.000901
5,229.011,1.86496,1.83161,0.00824,0.42135,0.56718,0.45163,0.20124,1.95441,1.72581,0.011,0.000868,0.000868,0.000868
6,272.915,1.85993,1.79536,0.00816,0.416,0.56363,0.44398,0.19436,1.92151,1.82354,0.01079,0.000835,0.000835,0.000835
7,316.725,1.82453,1.75497,0.00805,0.41345,0.58057,0.46212,0.20691,1.93257,1.67275,0.0108,0.000802,0.000802,0.000802
8,361.183,1.81362,1.72615,0.00813,0.414,0.57415,0.47908,0.20811,1.93589,1.69154,0.01088,0.000769,0.000769,0.000769
9,405.762,1.81025,1.72516,0.00801,0.46731,0.55732,0.47609,0.21143,1.92391,1.67465,0.01079,0.000736,0.000736,0.000736
10,450.194,1.83296,1.6937,0.00821,0.46325,0.54235,0.48387,0.21817,1.90839,1.66398,0.01079,0.000703,0.000703,0.000703
11,494.446,1.81019,1.65476,0.00788,0.44333,0.55237,0.47508,0.21934,1.87916,1.69818,0.01046,0.00067,0.00067,0.00067
12,538.835,1.78149,1.71088,0.00783,0.44259,0.54049,0.47249,0.22309,1.8491,1.68251,0.0102,0.000637,0.000637,0.000637
13,583.179,1.76622,1.63585,0.00775,0.44618,0.56932,0.49043,0.2344,1.84296,1.62492,0.01023,0.000604,0.000604,0.000604
14,627.709,1.76745,1.64394,0.00778,0.44624,0.55151,0.47806,0.21815,1.89737,1.67184,0.01057,0.000571,0.000571,0.000571
15,671.629,1.76461,1.61165,0.00773,0.46246,0.57857,0.50372,0.23413,1.88048,1.6349,0.01043,0.000538,0.000538,0.000538
16,715.339,1.74106,1.58321,0.00767,0.48053,0.56398,0.50063,0.23373,1.87675,1.60559,0.01035,0.000505,0.000505,0.000505
17,759.178,1.75916,1.57538,0.00767,0.45775,0.56639,0.49682,0.23503,1.84362,1.64653,0.01022,0.000472,0.000472,0.000472
18,803.364,1.74341,1.53505,0.00759,0.4813,0.58883,0.5016,0.23267,1.88669,1.56904,0.01049,0.000439,0.000439,0.000439
19,847.592,1.73794,1.54197,0.00756,0.46525,0.5891,0.50491,0.23992,1.83729,1.58431,0.01015,0.000406,0.000406,0.000406
20,892.258,1.72931,1.52616,0.00768,0.48911,0.58956,0.52082,0.25131,1.83482,1.58451,0.01016,0.000373,0.000373,0.000373
21,937.778,1.70993,1.46878,0.00899,0.50976,0.55161,0.51141,0.24554,1.82632,1.59766,0.01014,0.00034,0.00034,0.00034
22,981.557,1.69864,1.4343,0.0089,0.49104,0.56818,0.50627,0.24504,1.84582,1.5873,0.01028,0.000307,0.000307,0.000307
23,1025.7,1.68184,1.417,0.00871,0.4903,0.57003,0.5043,0.24377,1.85013,1.58122,0.01029,0.000274,0.000274,0.000274
24,1069.95,1.68051,1.39309,0.00874,0.49076,0.58067,0.51814,0.24985,1.84485,1.59296,0.01026,0.000241,0.000241,0.000241
25,1113.77,1.66406,1.35414,0.00867,0.48164,0.53106,0.50576,0.23894,1.87031,1.61511,0.01039,0.000208,0.000208,0.000208
26,1157.32,1.66463,1.33321,0.00865,0.49127,0.5707,0.51079,0.24686,1.82641,1.59807,0.01009,0.000175,0.000175,0.000175
27,1200.92,1.64205,1.32525,0.00841,0.50755,0.55155,0.51837,0.24543,1.87799,1.58029,0.01049,0.000142,0.000142,0.000142
28,1244.64,1.63594,1.30281,0.00842,0.46758,0.56155,0.50236,0.24208,1.85088,1.619,0.01029,0.000109,0.000109,0.000109
29,1288.4,1.62811,1.27239,0.00847,0.47763,0.57198,0.51166,0.24613,1.87016,1.59177,0.01042,7.6e-05,7.6e-05,7.6e-05
30,1332.25,1.62315,1.26652,0.00835,0.47928,0.57437,0.51516,0.24731,1.86977,1.58676,0.0104,4.3e-05,4.3e-05,4.3e-05
