epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9679,1.97975,3.43239,0.00872,0.26083,0.11798,0.12683,0.05023,1.79779,3.1913,0.01017,0.000331407,0.000331407,0.0671908
2,50.7988,1.84368,2.44792,0.00808,0.36316,0.42375,0.33225,0.14632,1.79555,2.16218,0.0099,0.000642803,0.000642803,0.0341688
3,73.7328,1.84928,2.21043,0.00801,0.37568,0.47576,0.37046,0.16183,1.79909,2.06191,0.00985,0.0009322,0.0009322,0.00112488
4,96.7368,1.80903,2.11851,0.00798,0.36531,0.50198,0.39543,0.18066,1.82944,1.99024,0.01014,0.000901,0.000901,0.000901
5,119.841,1.80196,2.05551,0.00783,0.38972,0.51484,0.42024,0.18829,1.81087,1.8904,0.00999,0.000868,0.000868,0.000868
6,142.286,1.81048,2.02126,0.00782,0.41153,0.51919,0.42473,0.18859,1.84943,1.87682,0.0103,0.000835,0.000835,0.000835
7,165.237,1.79579,1.97922,0.00781,0.3883,0.53297,0.42597,0.1953,1.82874,1.84691,0.01014,0.000802,0.000802,0.000802
8,188.153,1.78809,1.92255,0.00794,0.39952,0.5668,0.4381,0.19068,1.84502,1.86181,0.01027,0.000769,0.000769,0.000769
9,211.176,1.79792,1.92146,0.0079,0.41794,0.52758,0.44648,0.20545,1.83285,1.79596,0.01017,0.000736,0.000736,0.000736
10,233.924,1.78636,1.89908,0.00789,0.41459,0.52584,0.44182,0.20449,1.84755,1.80666,0.01037,0.000703,0.000703,0.000703
11,256.97,1.77557,1.87273,0.00763,0.40909,0.55619,0.45539,0.20591,1.83989,1.78636,0.01019,0.00067,0.00067,0.00067
12,279.5,1.7773,1.8529,0.00774,0.40992,0.52964,0.43053,0.19832,1.83157,1.8264,0.01011,0.000637,0.000637,0.000637
13,302.069,1.76977,1.82422,0.00772,0.45914,0.51731,0.46975,0.22187,1.81883,1.76385,0.01006,0.000604,0.000604,0.000604
14,325.827,1.7591,1.82398,0.00767,0.43698,0.55764,0.46565,0.21472,1.81275,1.76841,0.01001,0.000571,0.000571,0.000571
15,348.338,1.75646,1.81096,0.00764,0.43668,0.5439,0.46337,0.21622,1.82689,1.74265,0.01015,0.000538,0.000538,0.000538
16,370.937,1.74422,1.78143,0.00764,0.4507,0.52767,0.47095,0.22415,1.78414,1.76467,0.0098,0.000505,0.000505,0.000505
17,393.518,1.77444,1.76757,0.00771,0.45883,0.5404,0.47432,0.22556,1.82969,1.72801,0.0102,0.000472,0.000472,0.000472
18,416.184,1.74712,1.74171,0.00756,0.4534,0.54913,0.47989,0.22852,1.82643,1.70012,0.01014,0.000439,0.000439,0.000439
19,438.83,1.75262,1.75953,0.00757,0.43237,0.54638,0.47385,0.22845,1.80786,1.71609,0.00998,0.000406,0.000406,0.000406
20,461.485,1.73889,1.73601,0.00765,0.47356,0.56573,0.48338,0.22094,1.83979,1.69293,0.01022,0.000373,0.000373,0.000373
21,485.216,1.73369,1.65845,0.00908,0.42023,0.5604,0.45936,0.22526,1.80069,1.76397,0.00999,0.00034,0.00034,0.00034
22,507.074,1.71215,1.62284,0.00892,0.4529,0.54292,0.4796,0.23081,1.83319,1.70247,0.01021,0.000307,0.000307,0.000307
23,529.518,1.70313,1.60868,0.00877,0.46613,0.54953,0.47923,0.23274,1.80629,1.71378,0.01,0.000274,0.000274,0.000274
24,551.484,1.71589,1.57299,0.0089,0.45425,0.55643,0.47466,0.22736,1.8413,1.69207,0.01023,0.000241,0.000241,0.000241
25,573.508,1.69656,1.58014,0.00882,0.44932,0.50896,0.45731,0.21945,1.81564,1.76595,0.0101,0.000208,0.000208,0.000208
26,595.568,1.69296,1.55716,0.00878,0.46546,0.53939,0.47268,0.22806,1.81556,1.71073,0.01009,0.000175,0.000175,0.000175
27,616.706,1.69116,1.5484,0.00865,0.46007,0.56137,0.48313,0.23077,1.83553,1.6762,0.01019,0.000142,0.000142,0.000142
28,638.688,1.6784,1.54566,0.00864,0.46214,0.54652,0.47586,0.2285,1.81845,1.73207,0.01007,0.000109,0.000109,0.000109
29,661.127,1.67529,1.52747,0.00873,0.47087,0.55477,0.48325,0.23304,1.82336,1.6899,0.01009,7.6e-05,7.6e-05,7.6e-05
30,683.658,1.6811,1.51225,0.00868,0.46887,0.54818,0.48085,0.23305,1.83016,1.69076,0.01015,4.3e-05,4.3e-05,4.3e-05
