epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2696,2.05177,3.67541,0.0092,0.3279,0.37325,0.27063,0.10672,1.97513,2.4996,0.01111,0.000331407,0.000331407,0.0671908
2,63.3665,1.88284,2.1275,0.00835,0.35871,0.50456,0.37109,0.1486,1.90664,2.15978,0.01096,0.000642803,0.000642803,0.0341688
3,91.1583,1.86527,2.04051,0.00818,0.35055,0.53046,0.40392,0.17609,1.96724,2.06418,0.01084,0.0009322,0.0009322,0.00112488
4,118.78,1.83536,1.94172,0.00817,0.43779,0.53585,0.45282,0.20475,1.89192,1.80936,0.01067,0.000901,0.000901,0.000901
5,146.37,1.82986,1.91504,0.00804,0.44475,0.53637,0.46493,0.21456,1.87386,1.77615,0.01045,0.000868,0.000868,0.000868
6,173.709,1.83599,1.86414,0.008,0.3901,0.50753,0.41388,0.18479,1.90524,1.87724,0.01047,0.000835,0.000835,0.000835
7,201.236,1.81229,1.83168,0.00797,0.44107,0.54954,0.46441,0.21511,1.88602,1.79532,0.01056,0.000802,0.000802,0.000802
8,228.634,1.80075,1.78637,0.00805,0.40126,0.57427,0.46771,0.21748,1.87291,1.71145,0.01037,0.000769,0.000769,0.000769
9,256.515,1.81728,1.7747,0.00803,0.44672,0.54717,0.47567,0.22237,1.84735,1.72118,0.0103,0.000736,0.000736,0.000736
10,284.306,1.81563,1.74802,0.00805,0.48269,0.524,0.48423,0.23146,1.84413,1.65268,0.01029,0.000703,0.000703,0.000703
11,311.646,1.78669,1.72203,0.00773,0.44793,0.54152,0.48,0.22186,1.87595,1.71384,0.01032,0.00067,0.00067,0.00067
12,338.649,1.78297,1.71639,0.0078,0.43129,0.53035,0.46146,0.21281,1.88276,1.74655,0.01046,0.000637,0.000637,0.000637
13,366.083,1.77823,1.68613,0.0078,0.46213,0.53158,0.48369,0.23151,1.85197,1.68464,0.01034,0.000604,0.000604,0.000604
14,393.831,1.76526,1.68705,0.00775,0.46722,0.54378,0.49378,0.23473,1.86545,1.63066,0.0103,0.000571,0.000571,0.000571
15,422.506,1.76881,1.64952,0.00775,0.48532,0.55661,0.51021,0.24001,1.83243,1.63934,0.01013,0.000538,0.000538,0.000538
16,451.393,1.7458,1.63979,0.00767,0.44051,0.52488,0.45524,0.21843,1.84004,1.71381,0.01014,0.000505,0.000505,0.000505
17,479.089,1.74074,1.64116,0.00757,0.4644,0.55479,0.49356,0.23732,1.83048,1.63115,0.0101,0.000472,0.000472,0.000472
18,507.578,1.7352,1.61726,0.00754,0.47051,0.52944,0.49494,0.23444,1.85132,1.6238,0.01018,0.000439,0.000439,0.000439
19,535.634,1.74506,1.61784,0.00756,0.452,0.55667,0.50823,0.24538,1.82166,1.64273,0.01005,0.000406,0.000406,0.000406
20,563.119,1.72637,1.58874,0.00762,0.45103,0.55448,0.48944,0.23519,1.83168,1.62907,0.01011,0.000373,0.000373,0.000373
21,592.276,1.72236,1.50834,0.00904,0.46731,0.53125,0.49303,0.2396,1.80238,1.66896,0.00999,0.00034,0.00034,0.00034
22,619.344,1.70358,1.47442,0.00887,0.48508,0.52528,0.48932,0.23742,1.83778,1.651,0.01022,0.000307,0.000307,0.000307
23,647.466,1.70049,1.45315,0.00876,0.47898,0.52796,0.48921,0.23598,1.82526,1.66523,0.01007,0.000274,0.000274,0.000274
24,674.879,1.69021,1.44574,0.00877,0.46811,0.52715,0.49612,0.23386,1.84736,1.66502,0.01021,0.000241,0.000241,0.000241
25,702.57,1.68918,1.42136,0.00879,0.46036,0.49328,0.4504,0.21273,1.86134,1.76408,0.01033,0.000208,0.000208,0.000208
26,729.503,1.67988,1.39531,0.00869,0.44389,0.52634,0.4717,0.22356,1.84003,1.67503,0.01018,0.000175,0.000175,0.000175
27,756.718,1.67946,1.37312,0.00858,0.45162,0.55054,0.48467,0.23227,1.85645,1.63619,0.0103,0.000142,0.000142,0.000142
28,783.721,1.66923,1.35632,0.00859,0.43719,0.53168,0.47444,0.227,1.85351,1.6992,0.01025,0.000109,0.000109,0.000109
29,811.926,1.64874,1.34926,0.00856,0.44745,0.52141,0.47548,0.22528,1.8583,1.69944,0.01028,7.6e-05,7.6e-05,7.6e-05
30,839.078,1.64755,1.32912,0.00848,0.46074,0.53067,0.48461,0.23173,1.85542,1.6728,0.01029,4.3e-05,4.3e-05,4.3e-05
