epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.155,1.95337,2.61816,1.6032,0.40035,0.44941,0.34745,0.15409,1.92253,2.70622,1.79041,0.000331407,0.000331407,0.0671908
2,91.0826,1.92319,2.00257,1.60511,0.38765,0.46457,0.37397,0.16137,1.96178,1.97907,1.78595,0.000642803,0.000642803,0.0341688
3,132.268,1.92864,1.97489,1.59944,0.36486,0.51961,0.3885,0.17303,1.99146,1.87436,1.80687,0.0009322,0.0009322,0.00112488
4,173.649,1.89504,1.92734,1.59435,0.40046,0.52571,0.4212,0.19023,1.9727,1.76295,1.77458,0.000901,0.000901,0.000901
5,215.075,1.9059,1.86645,1.58769,0.39512,0.56966,0.43045,0.19253,1.91463,1.84584,1.73835,0.000868,0.000868,0.000868
6,256.363,1.86717,1.83029,1.55777,0.42199,0.54365,0.44392,0.20228,1.93137,1.76074,1.75679,0.000835,0.000835,0.000835
7,297.139,1.85234,1.79761,1.54945,0.42399,0.53562,0.43435,0.19608,1.92006,1.74032,1.72786,0.000802,0.000802,0.000802
8,337.924,1.82893,1.76966,1.54822,0.43216,0.56329,0.4659,0.21801,1.89051,1.66454,1.68828,0.000769,0.000769,0.000769
9,379.161,1.83452,1.76541,1.54418,0.42481,0.56663,0.4495,0.20838,1.87572,1.7092,1.68576,0.000736,0.000736,0.000736
10,419.8,1.81475,1.75769,1.52554,0.45073,0.5706,0.47234,0.2227,1.89095,1.64375,1.68824,0.000703,0.000703,0.000703
11,460.93,1.81219,1.68449,1.51107,0.46147,0.55374,0.47983,0.22746,1.87506,1.65008,1.68121,0.00067,0.00067,0.00067
12,502.123,1.80634,1.70831,1.52039,0.45709,0.54656,0.46601,0.22237,1.82503,1.67163,1.64717,0.000637,0.000637,0.000637
13,543.088,1.78034,1.67108,1.50146,0.4798,0.57145,0.48951,0.23003,1.84958,1.62899,1.67245,0.000604,0.000604,0.000604
14,584.421,1.76016,1.68116,1.49438,0.46169,0.53368,0.47161,0.22334,1.81317,1.69646,1.64474,0.000571,0.000571,0.000571
15,625.186,1.77116,1.64833,1.49541,0.47087,0.54534,0.4836,0.22639,1.86539,1.62377,1.68476,0.000538,0.000538,0.000538
16,665.996,1.74607,1.60778,1.4897,0.46908,0.58063,0.48895,0.23282,1.83584,1.60206,1.64777,0.000505,0.000505,0.000505
17,707.049,1.75151,1.6051,1.48083,0.47763,0.56207,0.49734,0.23557,1.84493,1.59943,1.66199,0.000472,0.000472,0.000472
18,749.023,1.74222,1.56176,1.47701,0.48046,0.56007,0.49238,0.23144,1.84043,1.62731,1.66111,0.000439,0.000439,0.000439
19,790.141,1.7281,1.5825,1.46201,0.47131,0.56657,0.49704,0.23802,1.84226,1.60122,1.64709,0.000406,0.000406,0.000406
20,831.379,1.71698,1.5585,1.47201,0.44926,0.59287,0.47987,0.22865,1.84091,1.59358,1.66425,0.000373,0.000373,0.000373
21,873.105,1.70805,1.48996,1.56219,0.47281,0.56128,0.49093,0.23423,1.84123,1.6096,1.65153,0.00034,0.00034,0.00034
22,913.455,1.69599,1.45813,1.56201,0.50396,0.54639,0.49749,0.24161,1.86206,1.56494,1.67918,0.000307,0.000307,0.000307
23,954.511,1.68497,1.42225,1.55182,0.48417,0.56349,0.50072,0.24068,1.84617,1.56723,1.65934,0.000274,0.000274,0.000274
24,995.861,1.66914,1.40816,1.54383,0.48918,0.56778,0.49797,0.23526,1.86758,1.58423,1.69103,0.000241,0.000241,0.000241
25,1036.89,1.65498,1.40139,1.5331,0.46975,0.55718,0.49312,0.23944,1.8436,1.6063,1.66416,0.000208,0.000208,0.000208
26,1077.42,1.64742,1.36771,1.53037,0.48307,0.56452,0.50301,0.23783,1.87428,1.56068,1.69121,0.000175,0.000175,0.000175
27,1117.82,1.63043,1.35965,1.50645,0.47786,0.56271,0.49671,0.2361,1.86834,1.57454,1.69058,0.000142,0.000142,0.000142
28,1158.19,1.61595,1.34738,1.5139,0.48065,0.54828,0.49525,0.2361,1.86708,1.58409,1.68845,0.000109,0.000109,0.000109
29,1198.74,1.59854,1.31621,1.50501,0.47244,0.57371,0.49891,0.23699,1.8759,1.56393,1.69711,7.6e-05,7.6e-05,7.6e-05
30,1238.99,1.60049,1.31114,1.50444,0.47957,0.56443,0.49732,0.23807,1.86999,1.57619,1.68562,4.3e-05,4.3e-05,4.3e-05
