epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3677,2.08749,2.60803,1.67715,0.27672,0.34213,0.19103,0.07993,2.02232,2.38656,1.63226,0.000331407,0.000331407,0.0671908
2,42.207,1.92932,1.90002,1.49075,0.4185,0.49006,0.40386,0.17965,1.9499,1.94594,1.58234,0.000642803,0.000642803,0.0341688
3,59.7951,1.91203,1.80688,1.45813,0.41864,0.54748,0.43792,0.18778,1.93358,1.82217,1.48178,0.0009322,0.0009322,0.00112488
4,76.7481,1.86931,1.74215,1.42504,0.45963,0.5241,0.45016,0.20657,1.92268,1.72586,1.47038,0.000901,0.000901,0.000901
5,94.0506,1.87143,1.70657,1.42081,0.43402,0.54753,0.45802,0.20719,1.91653,1.7222,1.48754,0.000868,0.000868,0.000868
6,110.938,1.85748,1.69378,1.4033,0.45348,0.52681,0.45641,0.20966,1.8851,1.69282,1.44379,0.000835,0.000835,0.000835
7,127.867,1.83292,1.66441,1.39097,0.44223,0.57419,0.47886,0.22313,1.88429,1.6371,1.45646,0.000802,0.000802,0.000802
8,145.157,1.81872,1.62759,1.39001,0.43237,0.57945,0.48022,0.22104,1.87902,1.66684,1.45291,0.000769,0.000769,0.000769
9,162.285,1.83405,1.62081,1.38913,0.46585,0.57096,0.49379,0.22653,1.89893,1.63049,1.41712,0.000736,0.000736,0.000736
10,179.276,1.81711,1.6027,1.38462,0.48303,0.56058,0.49626,0.23143,1.89762,1.62009,1.45473,0.000703,0.000703,0.000703
11,196.631,1.79776,1.59144,1.36571,0.46923,0.58385,0.49705,0.22761,1.91728,1.61117,1.44983,0.00067,0.00067,0.00067
12,213.598,1.80015,1.58471,1.37041,0.47047,0.58274,0.50226,0.23558,1.87681,1.57956,1.4136,0.000637,0.000637,0.000637
13,231.5,1.77808,1.56206,1.3598,0.47761,0.57107,0.50534,0.23987,1.86783,1.58344,1.42797,0.000604,0.000604,0.000604
14,248.552,1.77565,1.56054,1.3524,0.47466,0.5726,0.49464,0.22865,1.87505,1.59229,1.42634,0.000571,0.000571,0.000571
15,265.481,1.77647,1.53934,1.35448,0.47572,0.60387,0.5129,0.24037,1.88601,1.54153,1.43769,0.000538,0.000538,0.000538
16,282.747,1.76032,1.52695,1.34967,0.46739,0.55816,0.48508,0.22383,1.89357,1.59838,1.43664,0.000505,0.000505,0.000505
17,299.352,1.76794,1.52185,1.35259,0.48553,0.56883,0.49631,0.23313,1.87548,1.57886,1.43089,0.000472,0.000472,0.000472
18,316.967,1.7458,1.50172,1.3394,0.48831,0.5807,0.50038,0.23644,1.84434,1.59638,1.41933,0.000439,0.000439,0.000439
19,334.106,1.75191,1.51465,1.33491,0.48554,0.569,0.51484,0.24222,1.86075,1.5601,1.4068,0.000406,0.000406,0.000406
20,351.349,1.73539,1.48976,1.3343,0.48476,0.59034,0.51044,0.24164,1.87123,1.54727,1.42916,0.000373,0.000373,0.000373
21,369.06,1.73262,1.4838,1.37695,0.48246,0.56666,0.50418,0.2399,1.84124,1.5856,1.41154,0.00034,0.00034,0.00034
22,385.494,1.72717,1.45551,1.36817,0.50044,0.5699,0.51636,0.24474,1.86316,1.55191,1.42109,0.000307,0.000307,0.000307
23,402.836,1.71062,1.45499,1.35593,0.50105,0.56992,0.51302,0.24688,1.8494,1.56695,1.41461,0.000274,0.000274,0.000274
24,420.422,1.70721,1.44336,1.35901,0.50498,0.57359,0.51857,0.24652,1.87534,1.54302,1.42734,0.000241,0.000241,0.000241
25,437.579,1.69961,1.42391,1.36127,0.48949,0.55713,0.50302,0.23718,1.87676,1.57269,1.42467,0.000208,0.000208,0.000208
26,454.44,1.68553,1.41132,1.35339,0.50002,0.57314,0.52055,0.24596,1.85348,1.53845,1.42161,0.000175,0.000175,0.000175
27,470.904,1.67815,1.40011,1.34253,0.49785,0.58806,0.52233,0.24736,1.87229,1.52593,1.42904,0.000142,0.000142,0.000142
28,488.61,1.67717,1.38044,1.34382,0.49801,0.56885,0.50882,0.24153,1.86844,1.53545,1.42481,0.000109,0.000109,0.000109
29,506.252,1.66092,1.37402,1.34159,0.49056,0.58739,0.51992,0.24583,1.8754,1.51457,1.427,7.6e-05,7.6e-05,7.6e-05
30,523.57,1.65941,1.35539,1.33001,0.48932,0.59892,0.51999,0.24767,1.86893,1.51512,1.42339,4.3e-05,4.3e-05,4.3e-05
