epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6605,2.05061,2.28307,1.61529,0.39435,0.48297,0.36392,0.15207,1.97951,2.18441,1.59465,0.000331407,0.000331407,0.0671908
2,50.6715,1.89061,1.78348,1.49191,0.37951,0.52817,0.41383,0.18398,1.90037,1.95739,1.5193,0.000642803,0.000642803,0.0341688
3,73.3014,1.8796,1.72531,1.45103,0.4186,0.57101,0.4548,0.20565,1.92598,1.71702,1.50478,0.0009322,0.0009322,0.00112488
4,95.089,1.84542,1.69314,1.43046,0.44196,0.53821,0.45621,0.207,1.95722,1.69268,1.53044,0.000901,0.000901,0.000901
5,116.701,1.84128,1.65343,1.42294,0.44539,0.56907,0.47717,0.22143,1.90046,1.64795,1.49103,0.000868,0.000868,0.000868
6,138.922,1.82752,1.62906,1.4073,0.46669,0.5451,0.475,0.22016,1.89311,1.63954,1.46834,0.000835,0.000835,0.000835
7,160.56,1.80708,1.60244,1.39904,0.4842,0.56395,0.50239,0.22697,1.91324,1.60424,1.47972,0.000802,0.000802,0.000802
8,181.863,1.78734,1.57409,1.40052,0.46578,0.58467,0.50752,0.23755,1.89598,1.57355,1.47037,0.000769,0.000769,0.000769
9,203.642,1.80293,1.58108,1.40177,0.475,0.55381,0.48959,0.23095,1.87658,1.60578,1.44887,0.000736,0.000736,0.000736
10,225.117,1.78181,1.55688,1.38984,0.49868,0.57516,0.50847,0.23783,1.87569,1.58354,1.46057,0.000703,0.000703,0.000703
11,245.833,1.76953,1.52294,1.37294,0.47775,0.58055,0.5072,0.23553,1.8991,1.54491,1.47249,0.00067,0.00067,0.00067
12,266.298,1.76295,1.52801,1.37676,0.48939,0.57916,0.5107,0.23987,1.87566,1.54933,1.44949,0.000637,0.000637,0.000637
13,287.414,1.74295,1.49686,1.36151,0.49043,0.59352,0.51678,0.24757,1.86813,1.54405,1.44667,0.000604,0.000604,0.000604
14,308.995,1.73805,1.49284,1.35471,0.50492,0.58755,0.51391,0.24263,1.87927,1.52084,1.43295,0.000571,0.000571,0.000571
15,330.541,1.73898,1.4764,1.34983,0.47347,0.613,0.52164,0.24147,1.88076,1.51385,1.43258,0.000538,0.000538,0.000538
16,351.865,1.72355,1.46639,1.34876,0.4892,0.59739,0.50244,0.23996,1.85531,1.54606,1.45437,0.000505,0.000505,0.000505
17,372.793,1.72758,1.45539,1.34808,0.49804,0.59941,0.52566,0.24768,1.85937,1.53256,1.45194,0.000472,0.000472,0.000472
18,394.146,1.7114,1.42894,1.33639,0.50083,0.594,0.52176,0.24446,1.87979,1.5353,1.45436,0.000439,0.000439,0.000439
19,415.702,1.70885,1.44133,1.33605,0.49909,0.57343,0.52065,0.24994,1.85884,1.5297,1.44072,0.000406,0.000406,0.000406
20,437.365,1.69594,1.40549,1.33634,0.50616,0.57367,0.51163,0.2471,1.86745,1.52749,1.45164,0.000373,0.000373,0.000373
21,459.983,1.69481,1.40887,1.37682,0.50719,0.54647,0.51387,0.24579,1.84827,1.53661,1.43123,0.00034,0.00034,0.00034
22,481.272,1.68036,1.38898,1.37424,0.50499,0.56963,0.51877,0.25017,1.84666,1.55112,1.44102,0.000307,0.000307,0.000307
23,502.404,1.66805,1.3767,1.35484,0.50804,0.55911,0.51814,0.25046,1.85365,1.52441,1.43893,0.000274,0.000274,0.000274
24,523.613,1.65686,1.35138,1.35122,0.49597,0.57427,0.52273,0.24932,1.8782,1.52415,1.45046,0.000241,0.000241,0.000241
25,544.924,1.64514,1.32962,1.35094,0.50009,0.57557,0.51694,0.24684,1.87182,1.5368,1.45804,0.000208,0.000208,0.000208
26,566.392,1.62924,1.31787,1.34273,0.50327,0.58622,0.52575,0.25254,1.86618,1.50874,1.45579,0.000175,0.000175,0.000175
27,587.788,1.62105,1.29125,1.33297,0.49544,0.58712,0.51126,0.2416,1.87428,1.5325,1.4575,0.000142,0.000142,0.000142
28,608.819,1.60537,1.27417,1.32635,0.48398,0.56919,0.50526,0.24147,1.87471,1.55096,1.45788,0.000109,0.000109,0.000109
29,630.207,1.58731,1.24651,1.32684,0.49502,0.588,0.5168,0.24613,1.89212,1.53731,1.47354,7.6e-05,7.6e-05,7.6e-05
30,651.109,1.58525,1.23359,1.31718,0.49749,0.58109,0.5213,0.24888,1.88918,1.50216,1.46866,4.3e-05,4.3e-05,4.3e-05
