epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5492,2.00179,2.06614,1.75268,0.40043,0.39693,0.34054,0.15569,2.02326,2.12555,1.91115,0.000331407,0.000331407,0.0671908
2,114.416,1.92338,1.73328,1.71271,0.39555,0.52267,0.43926,0.18857,1.99091,2.1313,1.87723,0.000642803,0.000642803,0.0341688
3,168.174,1.91544,1.68294,1.69646,0.44895,0.55609,0.44777,0.19761,1.99332,1.70505,1.88231,0.0009322,0.0009322,0.00112488
4,220.795,1.87538,1.66108,1.68236,0.42285,0.56375,0.46165,0.21036,1.97133,1.63336,1.83132,0.000901,0.000901,0.000901
5,273.481,1.86636,1.61758,1.65884,0.4516,0.57866,0.4895,0.22675,1.91556,1.62194,1.7892,0.000868,0.000868,0.000868
6,326.365,1.85117,1.6054,1.644,0.44438,0.54738,0.46238,0.20418,1.95919,1.67471,1.8189,0.000835,0.000835,0.000835
7,378.736,1.82896,1.56973,1.63472,0.44419,0.58858,0.48989,0.22263,1.93486,1.58416,1.80004,0.000802,0.000802,0.000802
8,431.053,1.8129,1.54194,1.64113,0.47525,0.59104,0.51011,0.235,1.9121,1.55349,1.77629,0.000769,0.000769,0.000769
9,483.571,1.81957,1.53748,1.63339,0.46504,0.59351,0.50287,0.2344,1.90043,1.56593,1.78909,0.000736,0.000736,0.000736
10,536.014,1.8133,1.52969,1.63357,0.50626,0.59691,0.52709,0.24814,1.88438,1.54388,1.75893,0.000703,0.000703,0.000703
11,589.913,1.78468,1.4858,1.593,0.4819,0.58812,0.51306,0.23313,1.93814,1.53289,1.79759,0.00067,0.00067,0.00067
12,643.177,1.77241,1.50274,1.5955,0.47213,0.58913,0.50101,0.23278,1.91238,1.53353,1.78421,0.000637,0.000637,0.000637
13,696.286,1.76208,1.47778,1.59035,0.50813,0.59019,0.52596,0.24828,1.8746,1.50032,1.75927,0.000604,0.000604,0.000604
14,749.268,1.75713,1.46495,1.58621,0.49848,0.60038,0.51811,0.24564,1.88256,1.49694,1.76162,0.000571,0.000571,0.000571
15,802.07,1.74855,1.45056,1.58131,0.51192,0.58618,0.52583,0.24485,1.88879,1.49683,1.77387,0.000538,0.000538,0.000538
16,854.835,1.73222,1.42543,1.5733,0.48689,0.58101,0.50074,0.23525,1.88451,1.52706,1.7683,0.000505,0.000505,0.000505
17,907.658,1.73435,1.43016,1.56637,0.48931,0.59766,0.52002,0.24626,1.86759,1.49558,1.7483,0.000472,0.000472,0.000472
18,960.309,1.71693,1.39989,1.55484,0.49834,0.57309,0.51413,0.24255,1.85923,1.51319,1.74353,0.000439,0.000439,0.000439
19,1012.75,1.7083,1.41547,1.5496,0.49591,0.58016,0.52893,0.25121,1.87547,1.48013,1.75496,0.000406,0.000406,0.000406
20,1065.89,1.69277,1.38266,1.55693,0.50071,0.58698,0.51631,0.24322,1.87623,1.50819,1.76147,0.000373,0.000373,0.000373
21,1119.7,1.70429,1.40315,1.69544,0.51133,0.56609,0.51525,0.23994,1.85815,1.52417,1.74872,0.00034,0.00034,0.00034
22,1172.58,1.68431,1.36129,1.67655,0.50776,0.58973,0.52495,0.24945,1.87325,1.49599,1.7536,0.000307,0.000307,0.000307
23,1225.09,1.66904,1.36327,1.65562,0.49881,0.59324,0.52331,0.24945,1.86351,1.47776,1.75002,0.000274,0.000274,0.000274
24,1277.32,1.65468,1.33026,1.65757,0.5132,0.58654,0.51721,0.24313,1.87755,1.48849,1.7662,0.000241,0.000241,0.000241
25,1329.64,1.64673,1.31378,1.65601,0.48769,0.59711,0.517,0.2419,1.88857,1.49901,1.77501,0.000208,0.000208,0.000208
26,1381.91,1.62383,1.29555,1.6377,0.49151,0.60598,0.52804,0.24698,1.89705,1.44875,1.77741,0.000175,0.000175,0.000175
27,1434.39,1.61284,1.27221,1.6173,0.49445,0.59092,0.51535,0.23842,1.91085,1.49039,1.79593,0.000142,0.000142,0.000142
28,1486.93,1.59978,1.25577,1.61252,0.50655,0.5787,0.51618,0.24199,1.90201,1.48528,1.78454,0.000109,0.000109,0.000109
29,1539.37,1.57649,1.22672,1.61233,0.49981,0.6084,0.52889,0.2479,1.91067,1.45633,1.7925,7.6e-05,7.6e-05,7.6e-05
30,1591.67,1.56505,1.20488,1.59456,0.50266,0.5962,0.53549,0.25067,1.89962,1.4536,1.78553,4.3e-05,4.3e-05,4.3e-05
