epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6015,2.00219,2.07668,1.53628,0.34945,0.42627,0.31676,0.13692,1.94301,2.53149,1.55202,0.000331407,0.000331407,0.0671908
2,85.8427,1.91257,1.75926,1.46475,0.31181,0.48041,0.38207,0.16882,2.00015,2.42431,1.54204,0.000642803,0.000642803,0.0341688
3,124.968,1.90184,1.73532,1.45814,0.41757,0.51477,0.44835,0.2018,1.96392,1.82605,1.52105,0.0009322,0.0009322,0.00112488
4,164.691,1.86884,1.70113,1.4467,0.43905,0.59585,0.47485,0.21945,1.97176,1.6909,1.52129,0.000901,0.000901,0.000901
5,204.707,1.86388,1.66612,1.43716,0.39995,0.55609,0.46006,0.20958,1.94561,1.76046,1.53987,0.000868,0.000868,0.000868
6,243.345,1.84069,1.63859,1.42536,0.4378,0.55631,0.46564,0.21224,1.9131,1.7157,1.51388,0.000835,0.000835,0.000835
7,281.976,1.83176,1.60758,1.41815,0.46165,0.56093,0.48232,0.21763,1.92556,1.65369,1.49261,0.000802,0.000802,0.000802
8,320.541,1.80269,1.59998,1.41326,0.43103,0.59637,0.49007,0.23201,1.89056,1.61739,1.47567,0.000769,0.000769,0.000769
9,359.814,1.81334,1.58385,1.41135,0.4442,0.59505,0.48713,0.22815,1.88639,1.62618,1.47747,0.000736,0.000736,0.000736
10,398.588,1.80261,1.56647,1.40409,0.47734,0.5703,0.51067,0.24105,1.89491,1.56511,1.48694,0.000703,0.000703,0.000703
11,437.955,1.78437,1.53726,1.38854,0.47107,0.58223,0.49867,0.23614,1.85102,1.60428,1.45332,0.00067,0.00067,0.00067
12,476.994,1.77668,1.54275,1.38964,0.48942,0.57734,0.51243,0.24816,1.83323,1.57243,1.44575,0.000637,0.000637,0.000637
13,517.485,1.7581,1.52332,1.38052,0.47688,0.60728,0.52235,0.24565,1.87583,1.54866,1.47308,0.000604,0.000604,0.000604
14,556.872,1.75224,1.50318,1.37917,0.49828,0.57972,0.51243,0.24712,1.84436,1.56417,1.45701,0.000571,0.000571,0.000571
15,596.226,1.74915,1.49159,1.37259,0.46915,0.60529,0.51988,0.24728,1.85126,1.53229,1.45349,0.000538,0.000538,0.000538
16,635.5,1.7297,1.4785,1.36193,0.47828,0.6029,0.5038,0.23873,1.86413,1.52934,1.47781,0.000505,0.000505,0.000505
17,674.691,1.7317,1.47466,1.36616,0.46838,0.59082,0.51933,0.25175,1.83806,1.55596,1.4655,0.000472,0.000472,0.000472
18,714.561,1.71865,1.44262,1.353,0.47952,0.60799,0.52594,0.24755,1.85551,1.51875,1.45312,0.000439,0.000439,0.000439
19,753.216,1.71682,1.45446,1.35104,0.47113,0.61208,0.53349,0.25755,1.84143,1.51498,1.45797,0.000406,0.000406,0.000406
20,792.843,1.70281,1.42386,1.35499,0.48634,0.60495,0.50679,0.24545,1.86638,1.5318,1.46655,0.000373,0.000373,0.000373
21,833.262,1.71207,1.43793,1.40044,0.48883,0.5935,0.53263,0.25444,1.84153,1.5159,1.45251,0.00034,0.00034,0.00034
22,872.443,1.69098,1.40849,1.39833,0.51278,0.57997,0.52949,0.25594,1.85782,1.51602,1.46751,0.000307,0.000307,0.000307
23,910.985,1.67976,1.41081,1.38897,0.50007,0.57219,0.51856,0.24928,1.8329,1.53649,1.45486,0.000274,0.000274,0.000274
24,950.315,1.66339,1.39203,1.38019,0.49819,0.5986,0.53028,0.25618,1.83783,1.49683,1.47088,0.000241,0.000241,0.000241
25,989.753,1.65717,1.36942,1.38434,0.50199,0.57249,0.51558,0.24491,1.85251,1.5347,1.46938,0.000208,0.000208,0.000208
26,1028.69,1.64442,1.35532,1.38011,0.49857,0.59199,0.52618,0.25178,1.84313,1.50492,1.46912,0.000175,0.000175,0.000175
27,1067.21,1.63179,1.34576,1.36739,0.49163,0.61433,0.53398,0.25342,1.8472,1.48478,1.47538,0.000142,0.000142,0.000142
28,1105.52,1.61923,1.32912,1.36531,0.49997,0.57886,0.52541,0.25344,1.83724,1.50976,1.46429,0.000109,0.000109,0.000109
29,1144.23,1.6012,1.30853,1.35776,0.49861,0.59346,0.52959,0.25406,1.85971,1.49718,1.47091,7.6e-05,7.6e-05,7.6e-05
30,1182.83,1.59531,1.29624,1.34772,0.5062,0.60208,0.53719,0.25925,1.8446,1.48608,1.46453,4.3e-05,4.3e-05,4.3e-05
