epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9888,1.98639,2.10745,1.62126,0.39836,0.41744,0.32191,0.14735,2.04706,2.39072,1.77644,0.000331407,0.000331407,0.0671908
2,85.1276,1.90292,1.75681,1.52522,0.39137,0.51478,0.40054,0.17651,2.02925,2.07725,1.7038,0.000642803,0.000642803,0.0341688
3,124.367,1.90429,1.73497,1.5085,0.35135,0.55333,0.4119,0.17434,2.02629,2.09256,1.65684,0.0009322,0.0009322,0.00112488
4,163.594,1.88071,1.69512,1.50053,0.43024,0.57659,0.45422,0.20511,1.95971,1.76011,1.62362,0.000901,0.000901,0.000901
5,202.601,1.85769,1.66595,1.48379,0.4379,0.5534,0.44908,0.20231,1.95318,1.73,1.60931,0.000868,0.000868,0.000868
6,241.248,1.84068,1.6485,1.46263,0.44564,0.57697,0.46502,0.21376,1.87298,1.73277,1.52619,0.000835,0.000835,0.000835
7,280.045,1.82341,1.60994,1.45185,0.43485,0.5685,0.46154,0.2063,1.96991,1.66608,1.58641,0.000802,0.000802,0.000802
8,318.547,1.79737,1.59033,1.44174,0.44433,0.5696,0.50167,0.2345,1.87893,1.6175,1.53202,0.000769,0.000769,0.000769
9,357.251,1.81036,1.58255,1.44792,0.4552,0.57317,0.4876,0.22798,1.88575,1.62105,1.51564,0.000736,0.000736,0.000736
10,395.986,1.80074,1.56842,1.43921,0.49201,0.55245,0.50815,0.24366,1.87328,1.57861,1.5318,0.000703,0.000703,0.000703
11,434.688,1.7805,1.53272,1.42036,0.47925,0.57929,0.50799,0.24116,1.90133,1.56342,1.54083,0.00067,0.00067,0.00067
12,473.185,1.77528,1.54551,1.42108,0.47198,0.57377,0.50292,0.2441,1.82891,1.58122,1.51097,0.000637,0.000637,0.000637
13,512.018,1.7602,1.51865,1.40894,0.46792,0.59649,0.51416,0.24396,1.87925,1.54681,1.5243,0.000604,0.000604,0.000604
14,550.513,1.75014,1.51066,1.41404,0.48357,0.55129,0.50059,0.24163,1.83676,1.59155,1.49986,0.000571,0.000571,0.000571
15,589.057,1.7427,1.50422,1.4083,0.46794,0.59283,0.50952,0.244,1.84597,1.55273,1.51424,0.000538,0.000538,0.000538
16,627.539,1.73005,1.47493,1.39732,0.4786,0.58969,0.49758,0.23737,1.87679,1.53962,1.53974,0.000505,0.000505,0.000505
17,666.023,1.73321,1.46909,1.40036,0.46594,0.59442,0.51672,0.2505,1.846,1.54958,1.51191,0.000472,0.000472,0.000472
18,705.01,1.71537,1.4496,1.38798,0.47582,0.57403,0.50466,0.23978,1.85445,1.56355,1.50405,0.000439,0.000439,0.000439
19,743.279,1.71005,1.4571,1.38537,0.47596,0.5868,0.52099,0.25207,1.85686,1.52124,1.51989,0.000406,0.000406,0.000406
20,782.423,1.69377,1.4346,1.39167,0.48071,0.58848,0.50719,0.24514,1.8479,1.54509,1.52474,0.000373,0.000373,0.000373
21,821.832,1.71187,1.44489,1.44737,0.49822,0.57619,0.51468,0.24565,1.83835,1.55303,1.49912,0.00034,0.00034,0.00034
22,860.239,1.68808,1.41517,1.43061,0.49879,0.57708,0.51538,0.25421,1.84139,1.53698,1.50742,0.000307,0.000307,0.000307
23,899.228,1.67791,1.40207,1.42321,0.48913,0.57874,0.51268,0.24773,1.81933,1.55421,1.50325,0.000274,0.000274,0.000274
24,937.806,1.66322,1.39047,1.41808,0.50298,0.58955,0.52422,0.25252,1.84166,1.51614,1.51631,0.000241,0.000241,0.000241
25,976.548,1.65502,1.37315,1.42404,0.50142,0.58959,0.5192,0.25015,1.84943,1.5381,1.52306,0.000208,0.000208,0.000208
26,1014.88,1.64255,1.36188,1.41907,0.48644,0.5943,0.52375,0.25305,1.8497,1.50921,1.52762,0.000175,0.000175,0.000175
27,1053.3,1.62858,1.34013,1.40484,0.49487,0.58802,0.52607,0.25303,1.8468,1.5188,1.52155,0.000142,0.000142,0.000142
28,1091.7,1.62078,1.32905,1.40053,0.49785,0.578,0.52208,0.25592,1.83238,1.52231,1.51035,0.000109,0.000109,0.000109
29,1130.33,1.60511,1.30772,1.39759,0.50458,0.59762,0.52918,0.25662,1.85482,1.49504,1.52226,7.6e-05,7.6e-05,7.6e-05
30,1168.81,1.59444,1.29322,1.38424,0.49262,0.59191,0.52872,0.25671,1.84976,1.50073,1.52092,4.3e-05,4.3e-05,4.3e-05
