epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5488,1.97263,2.06988,1.63953,0.45363,0.52066,0.42438,0.19223,1.92229,1.80946,1.6546,0.000165703,0.000165703,0.067025
2,86.9479,1.86399,1.7073,1.5084,0.40449,0.5174,0.43193,0.19436,1.9647,1.81559,1.62946,0.000321402,0.000321402,0.0338474
3,126.685,1.86742,1.66317,1.49075,0.42388,0.56437,0.46821,0.20825,1.98313,1.73045,1.59122,0.0004661,0.0004661,0.000658778
4,166.68,1.83314,1.64229,1.48028,0.46213,0.6022,0.4872,0.21973,1.96171,1.66229,1.56897,0.0004505,0.0004505,0.0004505
5,205.961,1.82829,1.60551,1.46708,0.47315,0.54666,0.47932,0.21582,1.91106,1.7835,1.57856,0.000434,0.000434,0.000434
6,245.164,1.80983,1.58723,1.4568,0.45969,0.57517,0.47984,0.22352,1.87883,1.62703,1.5467,0.0004175,0.0004175,0.0004175
7,284.383,1.78944,1.56239,1.4473,0.44408,0.58681,0.49508,0.22729,1.90407,1.61187,1.56349,0.000401,0.000401,0.000401
8,323.602,1.76619,1.53757,1.44224,0.47831,0.5704,0.51321,0.24269,1.87229,1.59755,1.54408,0.0003845,0.0003845,0.0003845
9,362.343,1.78255,1.53221,1.44347,0.46977,0.60843,0.51652,0.24236,1.86282,1.55668,1.52946,0.000368,0.000368,0.000368
10,400.787,1.77213,1.51389,1.43444,0.49062,0.61529,0.52768,0.24821,1.89304,1.53743,1.55173,0.0003515,0.0003515,0.0003515
11,439.57,1.74787,1.4918,1.41389,0.48448,0.58605,0.5203,0.24824,1.86162,1.53841,1.54066,0.000335,0.000335,0.000335
12,479.273,1.74595,1.49471,1.42173,0.49678,0.59341,0.52036,0.25151,1.84509,1.54638,1.51176,0.0003185,0.0003185,0.0003185
13,518.883,1.72603,1.47093,1.40273,0.49495,0.60281,0.52771,0.25283,1.87085,1.51922,1.52014,0.000302,0.000302,0.000302
14,564.172,1.72402,1.46174,1.405,0.48818,0.56549,0.51018,0.24882,1.84471,1.58239,1.51928,0.0002855,0.0002855,0.0002855
15,608.529,1.71529,1.45509,1.40051,0.48302,0.59939,0.52973,0.25185,1.84467,1.51838,1.52679,0.000269,0.000269,0.000269
16,647.253,1.69917,1.43268,1.39359,0.50018,0.604,0.52342,0.25214,1.86459,1.51101,1.54178,0.0002525,0.0002525,0.0002525
17,692.766,1.70483,1.42247,1.38953,0.49302,0.60885,0.53549,0.26068,1.84137,1.50423,1.52498,0.000236,0.000236,0.000236
18,737.886,1.68757,1.38343,1.38478,0.51687,0.60329,0.53506,0.25478,1.84093,1.49979,1.51271,0.0002195,0.0002195,0.0002195
19,777.658,1.67972,1.40149,1.37539,0.50361,0.58159,0.53081,0.25645,1.85295,1.50657,1.52696,0.000203,0.000203,0.000203
20,816.735,1.66345,1.37094,1.38005,0.50984,0.6012,0.53113,0.26032,1.85167,1.47982,1.53176,0.0001865,0.0001865,0.0001865
21,856.451,1.67044,1.38236,1.43161,0.49932,0.58558,0.52694,0.25272,1.83077,1.51946,1.52049,0.00017,0.00017,0.00017
22,895.052,1.64705,1.3517,1.42207,0.48643,0.5902,0.51343,0.24762,1.84771,1.51958,1.52126,0.0001535,0.0001535,0.0001535
23,933.259,1.64435,1.33382,1.40911,0.49796,0.59935,0.52926,0.25596,1.83007,1.51348,1.51644,0.000137,0.000137,0.000137
24,971.825,1.62318,1.31321,1.40133,0.49533,0.58315,0.51371,0.24249,1.8716,1.52605,1.53893,0.0001205,0.0001205,0.0001205
25,1010.54,1.61027,1.29217,1.39948,0.50012,0.57709,0.52114,0.24938,1.86284,1.52353,1.54239,0.000104,0.000104,0.000104
26,1049.09,1.59913,1.271,1.39929,0.47808,0.62042,0.52869,0.25255,1.86726,1.48813,1.54701,8.75e-05,8.75e-05,8.75e-05
27,1087.86,1.5855,1.2498,1.38082,0.48927,0.62594,0.52752,0.2505,1.8763,1.48801,1.55296,7.1e-05,7.1e-05,7.1e-05
28,1126.63,1.57061,1.2368,1.37819,0.52032,0.57344,0.53026,0.25483,1.86113,1.50693,1.5367,5.45e-05,5.45e-05,5.45e-05
29,1165.15,1.54976,1.20709,1.37428,0.51216,0.59867,0.53165,0.25371,1.87358,1.49394,1.55117,3.8e-05,3.8e-05,3.8e-05
30,1203.6,1.53802,1.19154,1.36162,0.4964,0.60796,0.53259,0.25445,1.88365,1.49524,1.55667,2.15e-05,2.15e-05,2.15e-05
