epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2684,1.99484,2.05669,1.57141,0.39994,0.513,0.4007,0.18079,1.96873,1.84866,1.55885,0.000166185,0.000166185,0.0669292
2,98.5978,1.8918,1.73646,1.47252,0.44077,0.54561,0.45393,0.19861,1.95766,1.73834,1.51472,0.000321868,0.000321868,0.0337515
3,145.458,1.86863,1.72297,1.46745,0.47563,0.52764,0.46459,0.2079,1.90204,1.75105,1.55658,0.00046655,0.00046655,0.000562889
4,191.872,1.84363,1.66694,1.45391,0.44446,0.56017,0.46935,0.22247,1.88305,1.67922,1.48198,0.0004505,0.0004505,0.0004505
5,238.627,1.82873,1.62758,1.42176,0.48302,0.55441,0.48359,0.22645,1.91054,1.66014,1.48052,0.000434,0.000434,0.000434
6,284.594,1.80858,1.62129,1.41657,0.46231,0.57845,0.4901,0.22519,1.90722,1.61936,1.5077,0.0004175,0.0004175,0.0004175
7,330.631,1.79111,1.58808,1.40998,0.43233,0.57256,0.46851,0.21943,1.86705,1.67862,1.49559,0.000401,0.000401,0.000401
8,376.524,1.78559,1.5719,1.40681,0.45473,0.601,0.5041,0.23979,1.8484,1.64366,1.46516,0.0003845,0.0003845,0.0003845
9,422.745,1.78836,1.57318,1.41143,0.45309,0.58295,0.48898,0.22983,1.87205,1.60457,1.49958,0.000368,0.000368,0.000368
10,468.344,1.77017,1.54308,1.40663,0.45298,0.59249,0.515,0.24508,1.87444,1.55432,1.47819,0.0003515,0.0003515,0.0003515
11,514.29,1.75984,1.52979,1.39096,0.47174,0.59306,0.51341,0.23508,1.88576,1.56735,1.49302,0.000335,0.000335,0.000335
12,559.578,1.75929,1.51212,1.39391,0.45973,0.60466,0.5172,0.24646,1.84373,1.56273,1.47067,0.0003185,0.0003185,0.0003185
13,605.173,1.74384,1.50807,1.38715,0.47837,0.59758,0.52418,0.24966,1.86168,1.54748,1.49624,0.000302,0.000302,0.000302
14,651.926,1.73161,1.48556,1.37573,0.48884,0.5908,0.51798,0.24424,1.85449,1.56476,1.45257,0.0002855,0.0002855,0.0002855
15,698.079,1.73155,1.46833,1.37386,0.49246,0.58644,0.51253,0.2428,1.8461,1.54848,1.46449,0.000269,0.000269,0.000269
16,743.88,1.72649,1.46644,1.36983,0.4708,0.57891,0.5132,0.2489,1.79023,1.56099,1.44475,0.0002525,0.0002525,0.0002525
17,790.065,1.71639,1.44482,1.36655,0.48284,0.60858,0.52692,0.2476,1.86907,1.54303,1.47815,0.000236,0.000236,0.000236
18,835.294,1.7045,1.44111,1.35715,0.49836,0.60613,0.53029,0.25214,1.84543,1.51073,1.46001,0.0002195,0.0002195,0.0002195
19,880.531,1.6963,1.44035,1.35272,0.481,0.60523,0.5279,0.25102,1.8511,1.52149,1.4661,0.000203,0.000203,0.000203
20,926.086,1.69007,1.41389,1.35492,0.495,0.59502,0.52817,0.25301,1.85222,1.51166,1.45838,0.0001865,0.0001865,0.0001865
21,973.188,1.67532,1.40857,1.38363,0.49339,0.59397,0.5163,0.24742,1.83733,1.52459,1.45925,0.00017,0.00017,0.00017
22,1018.22,1.65969,1.38018,1.38808,0.5003,0.58845,0.53026,0.25839,1.82701,1.51589,1.46164,0.0001535,0.0001535,0.0001535
23,1064.86,1.65831,1.37128,1.38523,0.52656,0.57407,0.53093,0.25639,1.8333,1.53032,1.46445,0.000137,0.000137,0.000137
24,1109.78,1.6434,1.3515,1.37054,0.51452,0.59229,0.53667,0.2545,1.83802,1.50682,1.46386,0.0001205,0.0001205,0.0001205
25,1155.18,1.63105,1.33314,1.36589,0.50554,0.58638,0.53037,0.2556,1.84205,1.52144,1.47387,0.000104,0.000104,0.000104
26,1200.37,1.6179,1.32341,1.36374,0.4936,0.58342,0.52975,0.25603,1.8454,1.51042,1.46747,8.75e-05,8.75e-05,8.75e-05
27,1246.56,1.60897,1.30753,1.35268,0.49433,0.60238,0.52789,0.24989,1.85309,1.50821,1.4749,7.1e-05,7.1e-05,7.1e-05
28,1292.18,1.59907,1.28998,1.35188,0.48447,0.60052,0.52614,0.25323,1.85288,1.51165,1.4725,5.45e-05,5.45e-05,5.45e-05
29,1337.78,1.58167,1.27292,1.33892,0.49438,0.60041,0.52492,0.25164,1.8582,1.51361,1.47889,3.8e-05,3.8e-05,3.8e-05
30,1382.64,1.57508,1.25571,1.33826,0.49359,0.59307,0.52535,0.25229,1.85141,1.50726,1.48444,2.15e-05,2.15e-05,2.15e-05
