epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4792,1.96174,2.11872,1.71178,0.37297,0.50071,0.38886,0.17422,1.90576,2.41783,1.60597,0.000165703,0.000165703,0.067025
2,86.0544,1.84175,1.74873,1.54878,0.4168,0.56865,0.44426,0.20444,1.87133,1.80832,1.54686,0.000321402,0.000321402,0.0338474
3,125.426,1.84428,1.69803,1.53731,0.43495,0.52741,0.46227,0.2079,1.94245,1.91246,1.55211,0.0004661,0.0004661,0.000658778
4,164.593,1.81715,1.64038,1.51145,0.47835,0.56911,0.47616,0.21592,1.92506,1.65656,1.6036,0.0004505,0.0004505,0.0004505
5,203.882,1.79974,1.62839,1.50797,0.44042,0.55775,0.46661,0.21232,1.88979,1.72176,1.53483,0.000434,0.000434,0.000434
6,242.734,1.78738,1.59927,1.48969,0.47731,0.5678,0.4825,0.22517,1.9038,1.66556,1.54907,0.0004175,0.0004175,0.0004175
7,282.2,1.77288,1.59083,1.48686,0.45757,0.57073,0.48321,0.22116,1.90902,1.69455,1.55207,0.000401,0.000401,0.000401
8,320.653,1.75454,1.55723,1.46616,0.4343,0.59719,0.49879,0.24046,1.85501,1.57909,1.51406,0.0003845,0.0003845,0.0003845
9,359.91,1.75541,1.52116,1.46622,0.46625,0.57636,0.49195,0.23093,1.89135,1.61109,1.52566,0.000368,0.000368,0.000368
10,398.946,1.72833,1.50375,1.45797,0.45549,0.59792,0.49234,0.23102,1.88313,1.62524,1.53454,0.0003515,0.0003515,0.0003515
11,438.898,1.72589,1.52127,1.45614,0.49317,0.58459,0.52118,0.24421,1.88633,1.56774,1.51696,0.000335,0.000335,0.000335
12,478.189,1.70914,1.49894,1.44328,0.47979,0.59451,0.51087,0.23932,1.87084,1.59331,1.51832,0.0003185,0.0003185,0.0003185
13,516.843,1.70647,1.47482,1.44047,0.44545,0.58179,0.49024,0.23112,1.86774,1.58512,1.51851,0.000302,0.000302,0.000302
14,555.659,1.68903,1.45439,1.43186,0.48994,0.60269,0.52143,0.24709,1.87362,1.53639,1.52958,0.0002855,0.0002855,0.0002855
15,594.683,1.68197,1.44778,1.43732,0.46661,0.56282,0.49488,0.23659,1.84019,1.58102,1.49999,0.000269,0.000269,0.000269
16,633.114,1.67326,1.43269,1.42595,0.4765,0.55159,0.49479,0.23651,1.85307,1.60105,1.50556,0.0002525,0.0002525,0.0002525
17,671.997,1.66081,1.41784,1.41207,0.48107,0.59628,0.50997,0.2432,1.86087,1.54764,1.51203,0.000236,0.000236,0.000236
18,710.164,1.6317,1.38109,1.40467,0.49121,0.59113,0.51887,0.24123,1.88331,1.53373,1.53048,0.0002195,0.0002195,0.0002195
19,748.97,1.63228,1.36152,1.40478,0.48406,0.57988,0.50841,0.24589,1.86809,1.56014,1.51659,0.000203,0.000203,0.000203
20,787.253,1.62701,1.33351,1.40049,0.49821,0.5825,0.52462,0.24265,1.90947,1.52147,1.53662,0.0001865,0.0001865,0.0001865
21,825.878,1.60582,1.32444,1.38761,0.49462,0.57362,0.51631,0.2471,1.87232,1.53853,1.50917,0.00017,0.00017,0.00017
22,864.704,1.59078,1.30821,1.37715,0.48928,0.57636,0.49643,0.2353,1.89593,1.58435,1.53404,0.0001535,0.0001535,0.0001535
23,903.449,1.57743,1.28179,1.37638,0.49768,0.5897,0.5253,0.24972,1.8835,1.5226,1.52834,0.000137,0.000137,0.000137
24,942.08,1.55972,1.26572,1.36353,0.48585,0.58367,0.51736,0.24585,1.90004,1.5459,1.53015,0.0001205,0.0001205,0.0001205
25,980.373,1.55245,1.23281,1.34922,0.51348,0.56456,0.51504,0.24382,1.92458,1.53977,1.54255,0.000104,0.000104,0.000104
26,1020.13,1.51492,1.17765,1.33251,0.49659,0.56955,0.5038,0.23326,1.9253,1.56091,1.55535,8.75e-05,8.75e-05,8.75e-05
27,1058.45,1.49452,1.14949,1.32573,0.50051,0.57158,0.51217,0.24368,1.92383,1.55928,1.55872,7.1e-05,7.1e-05,7.1e-05
28,1097.12,1.47459,1.11758,1.31941,0.49421,0.57036,0.50512,0.23853,1.93515,1.56767,1.56804,5.45e-05,5.45e-05,5.45e-05
29,1135.74,1.45352,1.08967,1.30697,0.5052,0.55723,0.51545,0.24236,1.95042,1.56792,1.57701,3.8e-05,3.8e-05,3.8e-05
30,1174.33,1.4375,1.06148,1.2965,0.49726,0.56172,0.50597,0.23752,1.95713,1.58823,1.58704,2.15e-05,2.15e-05,2.15e-05
