epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9147,1.97778,2.07587,1.58344,0.35845,0.45136,0.36086,0.16208,1.99149,2.11392,1.66057,0.000165703,0.000165703,0.067025
2,86.3103,1.86338,1.70465,1.44275,0.42848,0.5824,0.46406,0.20607,1.95148,1.74169,1.51218,0.000321402,0.000321402,0.0338474
3,126.106,1.86075,1.65929,1.42939,0.41997,0.56825,0.46887,0.21252,1.95274,1.7043,1.5394,0.0004661,0.0004661,0.000658778
4,166.189,1.83555,1.6387,1.43234,0.46515,0.57895,0.48916,0.22191,1.92989,1.6846,1.5173,0.0004505,0.0004505,0.0004505
5,205.539,1.82658,1.6069,1.4144,0.46147,0.59124,0.49405,0.22667,1.89481,1.64368,1.51378,0.000434,0.000434,0.000434
6,244.762,1.81581,1.58555,1.41259,0.44587,0.57945,0.48717,0.22965,1.8743,1.63873,1.45772,0.0004175,0.0004175,0.0004175
7,283.82,1.79395,1.56169,1.39897,0.43888,0.55595,0.47002,0.21946,1.9075,1.62816,1.4789,0.000401,0.000401,0.000401
8,322.412,1.76968,1.53374,1.3862,0.44483,0.58843,0.49922,0.22552,1.88633,1.58386,1.47991,0.0003845,0.0003845,0.0003845
9,361.534,1.78853,1.53833,1.39923,0.46216,0.5892,0.50375,0.23877,1.8604,1.59854,1.45329,0.000368,0.000368,0.000368
10,401.458,1.77248,1.52861,1.38621,0.49832,0.58651,0.51504,0.23978,1.88865,1.54737,1.46548,0.0003515,0.0003515,0.0003515
11,441.342,1.75354,1.49546,1.37089,0.47315,0.61336,0.51511,0.2384,1.88791,1.54959,1.47236,0.000335,0.000335,0.000335
12,480.244,1.74503,1.49876,1.37756,0.46821,0.56181,0.48265,0.23138,1.85297,1.60273,1.46319,0.0003185,0.0003185,0.0003185
13,519.297,1.73342,1.48005,1.36372,0.48124,0.59372,0.52569,0.25122,1.87428,1.52779,1.46472,0.000302,0.000302,0.000302
14,558.745,1.72898,1.46647,1.36207,0.47904,0.57434,0.5075,0.23571,1.88005,1.57677,1.47325,0.0002855,0.0002855,0.0002855
15,597.59,1.72127,1.45657,1.3602,0.48744,0.61136,0.53224,0.25062,1.8706,1.50543,1.45929,0.000269,0.000269,0.000269
16,636.255,1.6981,1.43076,1.34501,0.50118,0.58064,0.50452,0.24027,1.86466,1.53296,1.47028,0.0002525,0.0002525,0.0002525
17,675.107,1.70117,1.42754,1.34563,0.48434,0.60033,0.52338,0.24952,1.8557,1.52549,1.4675,0.000236,0.000236,0.000236
18,714.101,1.69188,1.3955,1.34095,0.49798,0.57567,0.51786,0.24433,1.86201,1.52593,1.45835,0.0002195,0.0002195,0.0002195
19,752.725,1.67959,1.40694,1.3361,0.46719,0.59826,0.52393,0.24955,1.85948,1.51473,1.46144,0.000203,0.000203,0.000203
20,791.745,1.66998,1.3774,1.33647,0.50642,0.59453,0.53252,0.25473,1.85655,1.4915,1.45747,0.0001865,0.0001865,0.0001865
21,832.598,1.6736,1.38318,1.38171,0.48916,0.56422,0.50189,0.23796,1.85411,1.57402,1.46145,0.00017,0.00017,0.00017
22,871.193,1.65631,1.34665,1.37247,0.49683,0.58695,0.52,0.24917,1.86208,1.51996,1.46021,0.0001535,0.0001535,0.0001535
23,910.242,1.64087,1.33754,1.35754,0.50294,0.56709,0.51489,0.24561,1.84654,1.53912,1.4597,0.000137,0.000137,0.000137
24,948.883,1.62799,1.31587,1.35699,0.49806,0.58847,0.52206,0.24358,1.85997,1.51126,1.46664,0.0001205,0.0001205,0.0001205
25,988.185,1.61033,1.29532,1.35306,0.48568,0.56572,0.50174,0.23755,1.86768,1.55939,1.48261,0.000104,0.000104,0.000104
26,1027.59,1.59901,1.27898,1.34705,0.48841,0.59878,0.51759,0.24389,1.86882,1.51585,1.48514,8.75e-05,8.75e-05,8.75e-05
27,1066.65,1.58881,1.25312,1.33959,0.47585,0.57726,0.49429,0.23353,1.87543,1.55599,1.49628,7.1e-05,7.1e-05,7.1e-05
28,1105.18,1.57676,1.23441,1.33328,0.48657,0.56331,0.50401,0.23825,1.87147,1.5363,1.49035,5.45e-05,5.45e-05,5.45e-05
29,1143.57,1.55606,1.21297,1.33104,0.48769,0.58127,0.5077,0.24014,1.88224,1.5338,1.49599,3.8e-05,3.8e-05,3.8e-05
30,1182.42,1.55095,1.19136,1.31928,0.49531,0.59315,0.52201,0.24877,1.87559,1.51782,1.49282,2.15e-05,2.15e-05,2.15e-05
