epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3117,1.99596,2.066,1.59417,0.37756,0.43534,0.3486,0.15487,2.04636,2.18505,1.67019,0.000331754,0.000331754,0.0671564
2,105.426,1.90697,1.75899,1.51006,0.40586,0.45049,0.4169,0.19083,1.94234,2.3306,1.55374,0.000654113,0.000654113,0.0341454
3,153.641,1.90083,1.73173,1.50202,0.42521,0.49866,0.42759,0.19549,1.89969,1.82541,1.55161,0.000965472,0.000965472,0.00112345
4,201.574,1.8793,1.69027,1.48546,0.44771,0.54895,0.46444,0.21733,1.89184,1.71035,1.527,0.0009505,0.0009505,0.0009505
5,249.63,1.85648,1.65392,1.46032,0.42695,0.56624,0.44783,0.20687,1.89481,1.78745,1.5513,0.000934,0.000934,0.000934
6,296.474,1.84271,1.6273,1.46092,0.48011,0.57088,0.49024,0.23116,1.84437,1.66973,1.50954,0.0009175,0.0009175,0.0009175
7,343.717,1.82262,1.62334,1.45868,0.48315,0.57391,0.49735,0.22668,1.88221,1.63171,1.52759,0.000901,0.000901,0.000901
8,390.751,1.81724,1.59466,1.45231,0.46789,0.57188,0.49405,0.2367,1.84073,1.61478,1.49817,0.0008845,0.0008845,0.0008845
9,438.031,1.816,1.58363,1.44007,0.48791,0.60677,0.52525,0.24969,1.86049,1.62421,1.49545,0.000868,0.000868,0.000868
10,485.452,1.79341,1.56652,1.42778,0.48452,0.58973,0.52491,0.25767,1.81467,1.59181,1.49199,0.0008515,0.0008515,0.0008515
11,532.687,1.78901,1.54567,1.42939,0.47774,0.62281,0.5306,0.25813,1.85113,1.49736,1.51563,0.000835,0.000835,0.000835
12,579.564,1.77659,1.54021,1.41809,0.49089,0.59076,0.52344,0.25522,1.79109,1.54097,1.47872,0.0008185,0.0008185,0.0008185
13,626.461,1.77576,1.53254,1.40938,0.49634,0.63348,0.54818,0.25935,1.86461,1.47564,1.53152,0.000802,0.000802,0.000802
14,674.682,1.77119,1.52065,1.41422,0.52456,0.58379,0.53988,0.26823,1.79889,1.53478,1.45314,0.0007855,0.0007855,0.0007855
15,721.871,1.75989,1.51663,1.40186,0.48798,0.61443,0.54311,0.26536,1.78797,1.50497,1.46142,0.000769,0.000769,0.000769
16,768.356,1.75035,1.4997,1.39946,0.48245,0.60185,0.53268,0.26505,1.77959,1.51287,1.44594,0.0007525,0.0007525,0.0007525
17,815.218,1.74663,1.50023,1.40529,0.49572,0.61996,0.54593,0.26447,1.77527,1.53255,1.45387,0.000736,0.000736,0.000736
18,861.716,1.74579,1.4954,1.40248,0.50427,0.60626,0.55955,0.2748,1.78244,1.47566,1.46041,0.0007195,0.0007195,0.0007195
19,909.301,1.73962,1.48778,1.38721,0.52326,0.60905,0.56717,0.28112,1.7699,1.47881,1.45177,0.000703,0.000703,0.000703
20,957.479,1.72084,1.48093,1.38588,0.50112,0.61368,0.55919,0.27847,1.74727,1.47585,1.44598,0.0006865,0.0006865,0.0006865
21,1004.93,1.72588,1.4581,1.39431,0.50477,0.62503,0.56315,0.27824,1.78424,1.45212,1.45225,0.00067,0.00067,0.00067
22,1052.16,1.72403,1.45197,1.38604,0.52869,0.62525,0.57031,0.28491,1.75835,1.4539,1.44091,0.0006535,0.0006535,0.0006535
23,1099.95,1.71841,1.46059,1.37967,0.52034,0.63767,0.57741,0.29241,1.74021,1.43326,1.43569,0.000637,0.000637,0.000637
24,1147.69,1.71363,1.44129,1.38127,0.54482,0.62621,0.58677,0.30018,1.71125,1.4203,1.43038,0.0006205,0.0006205,0.0006205
25,1195.11,1.7006,1.43642,1.37195,0.53174,0.64503,0.5743,0.28847,1.72675,1.41757,1.42985,0.000604,0.000604,0.000604
26,1242.33,1.69611,1.41797,1.36738,0.53351,0.6428,0.58736,0.29738,1.71152,1.40805,1.41603,0.0005875,0.0005875,0.0005875
27,1289.49,1.68446,1.40811,1.36786,0.52171,0.62652,0.58736,0.29843,1.71975,1.40318,1.42419,0.000571,0.000571,0.000571
28,1336.25,1.68949,1.41895,1.36114,0.54783,0.63772,0.59992,0.30363,1.7136,1.39385,1.40993,0.0005545,0.0005545,0.0005545
29,1383.04,1.68694,1.40575,1.37143,0.53577,0.65842,0.60508,0.31037,1.72093,1.38457,1.41996,0.000538,0.000538,0.000538
30,1430.08,1.67636,1.37831,1.35908,0.55151,0.63958,0.59657,0.31136,1.69152,1.39448,1.39603,0.0005215,0.0005215,0.0005215
31,1476.88,1.67173,1.37929,1.35164,0.55773,0.64752,0.61544,0.3227,1.66942,1.35978,1.4026,0.000505,0.000505,0.000505
32,1523.96,1.67241,1.37803,1.35903,0.5406,0.65146,0.60232,0.31338,1.69762,1.37855,1.40941,0.0004885,0.0004885,0.0004885
