epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6536,1.99198,2.10323,1.64418,0.39524,0.49129,0.37702,0.16531,2.02669,2.6246,1.71466,0.000331407,0.000331407,0.0671908
2,122.858,1.91248,1.76887,1.54258,0.34907,0.49881,0.39171,0.16974,1.9341,2.19555,1.58891,0.000653772,0.000653772,0.0341798
3,177.204,1.90875,1.75535,1.52511,0.35877,0.5726,0.43918,0.19414,2.01949,1.83262,1.63359,0.000965137,0.000965137,0.00115782
4,231.838,1.879,1.71228,1.50593,0.44587,0.55451,0.45002,0.2073,1.95295,1.72929,1.57522,0.0009505,0.0009505,0.0009505
5,286.324,1.86318,1.68221,1.49562,0.44948,0.58627,0.46407,0.20991,1.93727,1.73932,1.60892,0.000934,0.000934,0.000934
6,340.492,1.84566,1.64738,1.4729,0.44415,0.56782,0.45022,0.20677,1.8998,1.7114,1.58943,0.0009175,0.0009175,0.0009175
7,394.891,1.82922,1.61852,1.46379,0.44616,0.57779,0.46313,0.20626,1.93792,1.65755,1.57318,0.000901,0.000901,0.000901
8,449.134,1.81546,1.61013,1.46126,0.43595,0.56336,0.48927,0.22586,1.91081,1.66638,1.56366,0.0008845,0.0008845,0.0008845
9,503.517,1.82199,1.60032,1.45868,0.45772,0.59661,0.49338,0.23145,1.8598,1.64129,1.5041,0.000868,0.000868,0.000868
10,557.644,1.81154,1.58828,1.44842,0.47214,0.58944,0.50197,0.23426,1.89139,1.59129,1.55617,0.0008515,0.0008515,0.0008515
11,612.107,1.79071,1.54493,1.4374,0.43886,0.5749,0.47797,0.22625,1.89561,1.60201,1.53057,0.000835,0.000835,0.000835
12,666.251,1.7961,1.57,1.43881,0.45102,0.56551,0.48876,0.23708,1.83278,1.61601,1.5163,0.0008185,0.0008185,0.0008185
13,720.401,1.7681,1.53384,1.42582,0.46187,0.60618,0.5082,0.23833,1.89191,1.54137,1.556,0.000802,0.000802,0.000802
14,774.965,1.76947,1.52765,1.42673,0.48253,0.60594,0.51722,0.24528,1.88064,1.54821,1.53843,0.0007855,0.0007855,0.0007855
15,828.856,1.76645,1.5271,1.42283,0.47885,0.59949,0.51431,0.24441,1.86317,1.5448,1.54134,0.000769,0.000769,0.000769
16,882.639,1.74869,1.49978,1.41525,0.47064,0.58858,0.50229,0.24146,1.85672,1.55959,1.53887,0.0007525,0.0007525,0.0007525
17,937.051,1.75363,1.50335,1.41821,0.46087,0.57998,0.49541,0.2381,1.85929,1.57284,1.53302,0.000736,0.000736,0.000736
18,991.264,1.74576,1.48626,1.41278,0.48197,0.5725,0.50282,0.24147,1.85595,1.56092,1.49962,0.0007195,0.0007195,0.0007195
19,1045.32,1.74358,1.49419,1.40161,0.48061,0.59002,0.52229,0.24707,1.87016,1.54035,1.50911,0.000703,0.000703,0.000703
