epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5914,2.05044,2.38936,1.69717,0.40086,0.47674,0.36653,0.16042,1.95483,1.98182,1.63299,0.000331407,0.000331407,0.0671908
2,67.0704,1.87713,1.77711,1.4982,0.43054,0.54177,0.45223,0.20835,1.91472,1.81896,1.54305,0.000653772,0.000653772,0.0341798
3,96.8945,1.88366,1.72495,1.46799,0.44092,0.55096,0.44588,0.19385,1.98609,1.69952,1.55568,0.000965137,0.000965137,0.00115782
4,127.056,1.85274,1.70272,1.4505,0.45883,0.57439,0.47729,0.22024,1.93461,1.66848,1.54318,0.0009505,0.0009505,0.0009505
5,157.088,1.8409,1.65028,1.43836,0.46516,0.55774,0.48768,0.22643,1.89334,1.68796,1.52217,0.000934,0.000934,0.000934
6,187.131,1.83406,1.63868,1.42632,0.44081,0.55997,0.46195,0.20902,1.91479,1.70406,1.52237,0.0009175,0.0009175,0.0009175
7,217.03,1.81394,1.60552,1.42004,0.47011,0.54948,0.48558,0.21943,1.90573,1.63909,1.48773,0.000901,0.000901,0.000901
8,246.867,1.78668,1.58291,1.40879,0.47643,0.58404,0.51332,0.2382,1.90718,1.57131,1.4995,0.0008845,0.0008845,0.0008845
9,276.948,1.81172,1.58066,1.41943,0.47124,0.56611,0.501,0.23387,1.87225,1.59302,1.46511,0.000868,0.000868,0.000868
10,306.666,1.79505,1.5591,1.40436,0.48309,0.56916,0.51468,0.24509,1.87753,1.59908,1.47661,0.0008515,0.0008515,0.0008515
11,336.432,1.78258,1.53497,1.39718,0.47701,0.60801,0.52474,0.24612,1.9063,1.53579,1.49237,0.000835,0.000835,0.000835
12,366.193,1.77204,1.55087,1.38974,0.4724,0.5593,0.47922,0.22143,1.88246,1.59647,1.46122,0.0008185,0.0008185,0.0008185
13,395.842,1.76247,1.51873,1.3786,0.49063,0.58149,0.5109,0.23835,1.89691,1.57071,1.48953,0.000802,0.000802,0.000802
14,425.522,1.75479,1.50692,1.37279,0.48424,0.58299,0.4933,0.23226,1.89032,1.57286,1.47298,0.0007855,0.0007855,0.0007855
15,455.279,1.75888,1.49943,1.37741,0.48899,0.59024,0.51789,0.24195,1.87374,1.52683,1.45772,0.000769,0.000769,0.000769
16,484.97,1.73758,1.487,1.3648,0.48617,0.59482,0.49637,0.2336,1.87324,1.56158,1.47236,0.0007525,0.0007525,0.0007525
17,514.896,1.74613,1.48171,1.36247,0.48894,0.61535,0.52803,0.24874,1.88754,1.53105,1.47496,0.000736,0.000736,0.000736
18,544.522,1.73156,1.45949,1.35315,0.47851,0.5809,0.51077,0.24436,1.86694,1.55613,1.4538,0.0007195,0.0007195,0.0007195
19,574.049,1.73334,1.46706,1.3515,0.48068,0.58987,0.52101,0.24769,1.89003,1.53601,1.4537,0.000703,0.000703,0.000703
20,603.3,1.72149,1.44878,1.34913,0.47925,0.57369,0.50336,0.24257,1.86551,1.55891,1.44609,0.0006865,0.0006865,0.0006865
21,632.82,1.7234,1.45714,1.3467,0.4898,0.53979,0.49355,0.22914,1.89814,1.60286,1.47217,0.00067,0.00067,0.00067
22,662.275,1.71418,1.43157,1.34066,0.4791,0.6012,0.52295,0.25057,1.87625,1.52549,1.44029,0.0006535,0.0006535,0.0006535
23,691.959,1.71204,1.42622,1.33656,0.497,0.58942,0.51161,0.24375,1.87505,1.54056,1.45073,0.000637,0.000637,0.000637
24,721.406,1.7012,1.42224,1.33508,0.50216,0.58603,0.51939,0.24705,1.87878,1.52819,1.46279,0.0006205,0.0006205,0.0006205
25,751.272,1.71104,1.40969,1.34289,0.48927,0.55948,0.51233,0.2503,1.86003,1.52176,1.44218,0.000604,0.000604,0.000604
26,780.801,1.69073,1.39839,1.32212,0.50213,0.56297,0.51166,0.24085,1.90372,1.5465,1.47539,0.0005875,0.0005875,0.0005875
27,810.364,1.69577,1.40527,1.32976,0.49756,0.57374,0.50553,0.23694,1.91738,1.54777,1.4718,0.000571,0.000571,0.000571
28,840.067,1.67414,1.38835,1.32261,0.52243,0.57947,0.52361,0.24438,1.89265,1.52893,1.47493,0.0005545,0.0005545,0.0005545
29,869.802,1.67918,1.38011,1.32369,0.50905,0.56599,0.51108,0.23974,1.8885,1.52845,1.45678,0.000538,0.000538,0.000538
30,899.548,1.66586,1.359,1.31386,0.49504,0.58431,0.52772,0.25424,1.87285,1.50158,1.45362,0.0005215,0.0005215,0.0005215
31,929.385,1.66178,1.35184,1.31178,0.50448,0.55772,0.50901,0.23843,1.90191,1.55947,1.46626,0.000505,0.000505,0.000505
32,959.124,1.65344,1.34688,1.30925,0.48778,0.57392,0.511,0.24126,1.89493,1.54042,1.4728,0.0004885,0.0004885,0.0004885
33,988.822,1.64724,1.32583,1.30552,0.49291,0.5533,0.49774,0.23342,1.90487,1.54311,1.47676,0.000472,0.000472,0.000472
34,1018.49,1.64742,1.30589,1.30351,0.49375,0.56374,0.50572,0.23506,1.92164,1.56756,1.4887,0.0004555,0.0004555,0.0004555
35,1048.05,1.63245,1.31402,1.29297,0.51458,0.57308,0.51604,0.24164,1.92374,1.52403,1.48581,0.000439,0.000439,0.000439
36,1077.68,1.624,1.28458,1.29867,0.48162,0.57408,0.50394,0.2383,1.90197,1.53268,1.48498,0.0004225,0.0004225,0.0004225
37,1107.25,1.62143,1.28218,1.29025,0.48491,0.59215,0.519,0.24304,1.91868,1.53697,1.48287,0.000406,0.000406,0.000406
38,1137,1.59943,1.2693,1.28516,0.49163,0.58234,0.51213,0.2414,1.93162,1.50961,1.50154,0.0003895,0.0003895,0.0003895
39,1166.85,1.60441,1.25732,1.27593,0.51893,0.57735,0.51605,0.24036,1.93569,1.52727,1.5013,0.000373,0.000373,0.000373
40,1196.34,1.59619,1.23383,1.27796,0.48783,0.56369,0.4916,0.22275,1.96773,1.56503,1.521,0.0003565,0.0003565,0.0003565
41,1225.89,1.58019,1.22264,1.26662,0.48821,0.57786,0.50149,0.23396,1.93822,1.5417,1.48752,0.00034,0.00034,0.00034
