epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8816,2.12814,1.851,1.72867,0.68038,0.56856,0.64648,0.26831,1.9757,1.53669,1.67161,0.000331407,0.000331407,0.0671908
2,63.4273,1.94649,1.41494,1.52763,0.72129,0.62516,0.71849,0.31122,1.91932,1.44023,1.57,0.000642803,0.000642803,0.0341688
3,87.421,1.92312,1.34653,1.4849,0.70755,0.63604,0.72038,0.3206,1.89806,1.38298,1.5021,0.0009322,0.0009322,0.00112488
4,111.213,1.87461,1.31476,1.45686,0.73083,0.65506,0.73799,0.32242,1.95527,1.29831,1.51425,0.000901,0.000901,0.000901
5,135.437,1.87705,1.27476,1.44418,0.78201,0.65414,0.76308,0.34406,1.90918,1.25373,1.47817,0.000868,0.000868,0.000868
6,159.369,1.86817,1.25562,1.43353,0.76871,0.66045,0.7687,0.34293,1.88445,1.26381,1.48132,0.000835,0.000835,0.000835
7,182.717,1.84534,1.24421,1.41962,0.74605,0.66296,0.75918,0.34469,1.87513,1.26008,1.46896,0.000802,0.000802,0.000802
8,206.718,1.82403,1.20881,1.41824,0.77536,0.69005,0.78136,0.35095,1.88295,1.23476,1.48484,0.000769,0.000769,0.000769
9,230.566,1.83876,1.21252,1.41551,0.7863,0.68521,0.7882,0.35787,1.89565,1.18355,1.439,0.000736,0.000736,0.000736
10,254.597,1.8272,1.18927,1.4025,0.78315,0.69131,0.78724,0.35513,1.90269,1.19217,1.48182,0.000703,0.000703,0.000703
11,278.464,1.80878,1.16687,1.38594,0.76785,0.70424,0.79609,0.35893,1.90751,1.17193,1.44404,0.00067,0.00067,0.00067
12,302.116,1.80783,1.17944,1.38516,0.77248,0.7028,0.79804,0.35922,1.88967,1.1754,1.43949,0.000637,0.000637,0.000637
13,326.022,1.79165,1.15382,1.37454,0.79578,0.70424,0.80391,0.36804,1.88389,1.15826,1.44947,0.000604,0.000604,0.000604
14,349.836,1.78947,1.15275,1.37861,0.77732,0.69311,0.79452,0.36481,1.85343,1.18114,1.44554,0.000571,0.000571,0.000571
15,373.709,1.78348,1.1316,1.37016,0.78809,0.71951,0.80896,0.3687,1.87286,1.13846,1.43784,0.000538,0.000538,0.000538
16,397.143,1.77668,1.12276,1.37007,0.79411,0.68668,0.79931,0.36556,1.86169,1.16549,1.43334,0.000505,0.000505,0.000505
17,420.827,1.77868,1.12193,1.37211,0.80505,0.71177,0.80677,0.37149,1.84965,1.14579,1.43083,0.000472,0.000472,0.000472
18,444.453,1.76057,1.10874,1.35816,0.81148,0.71846,0.82298,0.38068,1.85874,1.10893,1.43498,0.000439,0.000439,0.000439
19,467.988,1.76871,1.11324,1.35903,0.79348,0.69232,0.79707,0.3735,1.85419,1.14991,1.43198,0.000406,0.000406,0.000406
20,491.809,1.75167,1.09666,1.35588,0.79948,0.7107,0.80975,0.37691,1.85191,1.11741,1.42466,0.000373,0.000373,0.000373
21,516.577,1.75559,1.09601,1.39974,0.80262,0.70424,0.80929,0.37381,1.85185,1.14773,1.41905,0.00034,0.00034,0.00034
22,539.858,1.74055,1.08468,1.38844,0.79471,0.71859,0.80481,0.37547,1.85503,1.14219,1.43228,0.000307,0.000307,0.000307
23,563.575,1.73093,1.07788,1.37731,0.80438,0.72911,0.81323,0.37979,1.84722,1.12114,1.418,0.000274,0.000274,0.000274
24,587.354,1.72201,1.05971,1.37281,0.80277,0.72903,0.8177,0.37983,1.84804,1.10238,1.41333,0.000241,0.000241,0.000241
25,610.097,1.72023,1.05358,1.37708,0.80865,0.72757,0.81518,0.378,1.85316,1.10835,1.4214,0.000208,0.000208,0.000208
26,633.176,1.71174,1.04304,1.37416,0.81439,0.72128,0.81346,0.38072,1.83452,1.11755,1.41962,0.000175,0.000175,0.000175
27,656.379,1.69977,1.03846,1.36143,0.8042,0.7351,0.82029,0.37962,1.85409,1.09926,1.42522,0.000142,0.000142,0.000142
28,679.588,1.69725,1.02636,1.36454,0.80547,0.72362,0.81643,0.37888,1.84517,1.10502,1.42837,0.000109,0.000109,0.000109
29,702.784,1.68389,1.02852,1.36035,0.8144,0.7448,0.8262,0.38532,1.85499,1.09173,1.42053,7.6e-05,7.6e-05,7.6e-05
30,725.841,1.68671,1.0142,1.35335,0.80904,0.72721,0.81647,0.37933,1.85561,1.1001,1.42634,4.3e-05,4.3e-05,4.3e-05
