epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.4742,2.00441,2.06048,1.54678,0,0,0,0,0,0,0,0.000331754,0.000331754,0.0671564
2,135.251,1.90889,1.75885,1.47537,0,0,0,0,0,0,0,0.000643139,0.000643139,0.0341345
3,196.429,1.89121,1.72201,1.47148,0,0,0,0,0,0,0,0.000932524,0.000932524,0.0010905
4,256.923,1.88027,1.68623,1.45303,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
5,317.079,1.85052,1.63728,1.42227,0,0,0,0,0,0,0,0.000868,0.000868,0.000868
6,377.063,1.84671,1.6322,1.436,0,0,0,0,0,0,0,0.000835,0.000835,0.000835
7,437.411,1.82477,1.62141,1.42965,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
8,497.724,1.81164,1.58597,1.42618,0,0,0,0,0,0,0,0.000769,0.000769,0.000769
9,558.254,1.80813,1.57198,1.41276,0,0,0,0,0,0,0,0.000736,0.000736,0.000736
10,618.316,1.78315,1.5471,1.40159,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
11,678.271,1.7813,1.53188,1.40155,0,0,0,0,0,0,0,0.00067,0.00067,0.00067
12,738.357,1.76806,1.51916,1.38898,0,0,0,0,0,0,0,0.000637,0.000637,0.000637
13,798.438,1.76845,1.51025,1.39059,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
14,858.661,1.75346,1.50321,1.38581,0,0,0,0,0,0,0,0.000571,0.000571,0.000571
15,918.618,1.74765,1.49467,1.37608,0,0,0,0,0,0,0,0.000538,0.000538,0.000538
16,978.543,1.72782,1.48123,1.3687,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
17,1038.74,1.72537,1.4649,1.37164,0,0,0,0,0,0,0,0.000472,0.000472,0.000472
18,1098.91,1.72159,1.45539,1.36326,0,0,0,0,0,0,0,0.000439,0.000439,0.000439
19,1159.02,1.71211,1.45297,1.34628,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
20,1219.24,1.69759,1.43592,1.34933,0,0,0,0,0,0,0,0.000373,0.000373,0.000373
21,1279.57,1.70557,1.43424,1.41003,0,0,0,0,0,0,0,0.00034,0.00034,0.00034
22,1338.7,1.69036,1.42464,1.40091,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
23,1397.78,1.68219,1.40412,1.39979,0,0,0,0,0,0,0,0.000274,0.000274,0.000274
24,1456.87,1.66889,1.38136,1.3912,0,0,0,0,0,0,0,0.000241,0.000241,0.000241
25,1515.9,1.65667,1.3737,1.38581,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
26,1574.87,1.64654,1.35657,1.37593,0,0,0,0,0,0,0,0.000175,0.000175,0.000175
27,1633.93,1.63962,1.34797,1.37435,0,0,0,0,0,0,0,0.000142,0.000142,0.000142
28,1692.98,1.62633,1.33262,1.37598,0,0,0,0,0,0,0,0.000109,0.000109,0.000109
29,1752.29,1.61657,1.30816,1.36327,0,0,0,0,0,0,0,7.6e-05,7.6e-05,7.6e-05
30,1818.27,1.60352,1.29549,1.36216,0.58882,0.66325,0.64166,0.34753,1.61683,1.29439,1.35086,4.3e-05,4.3e-05,4.3e-05
