epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1458,2.04323,2.30385,1.5984,0,0,0,0,0,0,0,0.000331754,0.000331754,0.0671564
2,73.5969,1.88845,1.76153,1.44353,0,0,0,0,0,0,0,0.000643139,0.000643139,0.0341345
3,106.938,1.87516,1.72367,1.43676,0,0,0,0,0,0,0,0.000932524,0.000932524,0.0010905
4,139.795,1.86109,1.67263,1.41415,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
5,172.933,1.83135,1.64346,1.39516,0,0,0,0,0,0,0,0.000868,0.000868,0.000868
6,205.959,1.82241,1.61844,1.40177,0,0,0,0,0,0,0,0.000835,0.000835,0.000835
7,238.907,1.80191,1.60084,1.38922,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
8,271.971,1.8001,1.56917,1.38382,0,0,0,0,0,0,0,0.000769,0.000769,0.000769
9,305.032,1.79778,1.5736,1.37267,0,0,0,0,0,0,0,0.000736,0.000736,0.000736
10,337.288,1.77521,1.54759,1.36828,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
11,370.06,1.77261,1.52229,1.36515,0,0,0,0,0,0,0,0.00067,0.00067,0.00067
12,403.185,1.75975,1.50832,1.35429,0,0,0,0,0,0,0,0.000637,0.000637,0.000637
13,436.086,1.75371,1.50586,1.34995,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
14,469.164,1.75121,1.49999,1.34874,0,0,0,0,0,0,0,0.000571,0.000571,0.000571
15,502.209,1.73853,1.4875,1.34238,0,0,0,0,0,0,0,0.000538,0.000538,0.000538
16,535.12,1.72285,1.46702,1.33208,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
17,568.549,1.72105,1.45934,1.34008,0,0,0,0,0,0,0,0.000472,0.000472,0.000472
18,601.09,1.71624,1.45211,1.33405,0,0,0,0,0,0,0,0.000439,0.000439,0.000439
19,634.057,1.70735,1.43901,1.3191,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
20,666.824,1.69066,1.42014,1.31547,0,0,0,0,0,0,0,0.000373,0.000373,0.000373
21,700.476,1.69425,1.41733,1.36654,0,0,0,0,0,0,0,0.00034,0.00034,0.00034
22,733.135,1.6851,1.39623,1.34947,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
23,765.566,1.67173,1.37221,1.3454,0,0,0,0,0,0,0,0.000274,0.000274,0.000274
24,798.575,1.66231,1.35445,1.34454,0,0,0,0,0,0,0,0.000241,0.000241,0.000241
25,830.872,1.64877,1.34511,1.33692,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
26,863.448,1.63628,1.31982,1.3287,0,0,0,0,0,0,0,0.000175,0.000175,0.000175
27,895.973,1.63413,1.30573,1.32725,0,0,0,0,0,0,0,0.000142,0.000142,0.000142
28,928.361,1.61728,1.28012,1.32698,0,0,0,0,0,0,0,0.000109,0.000109,0.000109
29,960.777,1.60519,1.25796,1.31156,0,0,0,0,0,0,0,7.6e-05,7.6e-05,7.6e-05
30,995.796,1.59321,1.23997,1.30861,0.62138,0.68974,0.672,0.3663,1.61841,1.24958,1.29406,4.3e-05,4.3e-05,4.3e-05
